ruleset_index	matches	time_ms
0	[(1,1999),(8,9340),(16,7681),(29,6895),(37,10791),(38,8357),(39,7811),(42,4533),(46,2949),(66,590),(68,4267),(77,963),(82,9682),(87,6690),(89,6621)]	34.643366
1	[(2,2597),(11,7444),(15,6703),(21,5992),(26,10209),(29,10567),(32,2951),(35,2330),(70,10235),(71,9963),(74,1537),(77,5102),(79,9528)]	34.766059
2	[(0,2814),(10,9458),(13,2707),(18,3270),(28,10756),(44,8078),(45,10543),(74,8886),(78,5763),(82,6753),(91,7875)]	34.031926
3	[(0,5954),(3,5205),(17,7375),(23,5899),(24,994),(31,3669),(32,307),(33,7552),(42,9528),(53,10314),(62,3124),(67,10306),(73,7467),(77,10407),(89,2309)]	34.554840
4	[(1,4966),(4,13),(17,2789),(23,2652),(30,5241),(35,4176),(36,2641),(38,7496),(40,2129),(46,2462),(47,9019),(48,4588),(62,2286),(65,5088),(72,9795),(86,9899),(91,9866)]	34.447886
5	[(0,6785),(16,1762),(18,4651),(19,10212),(20,8372),(38,1010),(47,2994),(53,1498),(54,8255),(60,1551),(63,1748),(64,8388),(70,2689),(72,4498),(74,3018),(77,3043),(78,4245),(80,8593),(85,1201),(91,537)]	36.937125
6	[(4,1801),(7,4625),(18,10318),(20,9404),(23,1916),(33,3996),(35,4436),(50,2113),(57,8328),(63,4678),(71,10528),(76,9924),(77,854),(78,1994),(91,5840)]	34.000076
7	[(1,9077),(15,16),(28,9210),(33,9474),(37,1368),(38,6728),(40,1556),(44,2557),(47,6445),(56,7143),(60,4445),(64,7089),(65,7090),(69,9972),(74,7199),(83,4049),(89,960),(91,801),(92,7201)]	33.960268
8	[(7,7228),(9,6044),(14,6020),(16,5623),(26,6369),(42,9263),(45,9690),(53,8397),(57,3844),(67,269),(69,3081),(76,354),(83,4212),(87,2394),(89,10541),(91,6301)]	34.108726
9	[(9,7540),(10,581),(21,924),(25,9040),(26,7476),(32,5866),(44,8633),(45,10380),(47,6652),(49,8998),(53,5298),(59,2031),(61,2448),(62,3853),(66,1773),(69,4591),(76,7532),(77,5897),(79,3166),(90,8320),(92,5189)]	35.965487
10	[(2,5882),(7,7564),(13,8030),(14,548),(17,9324),(22,2106),(24,1985),(32,8760),(44,7519),(47,10242),(50,2696),(54,3001),(60,2968),(69,5032),(71,1525),(73,2147),(78,7154),(89,10765)]	55.894200
11	[(4,7938),(7,9787),(11,3957),(18,1325),(24,9619),(28,9280),(34,7873),(41,7534),(51,8609),(52,9545),(53,7468),(59,3641),(65,3349),(67,8017),(71,8481),(73,171),(81,8005),(84,8097),(91,10035)]	34.400924
