n_patterns,avg_time_ms,total_matches,total_bytes
18248,60.506025,26136,100000
18328,62.917496,26077,100000
18408,60.541613,25989,100000
18488,62.731936,26054,100000
18568,62.275229,26261,100000
18648,64.164455,26470,100000
18728,63.511317,26564,100000
18808,61.869884,26823,100000
18888,63.536277,26598,100000
18968,63.600153,26895,100000
19048,62.081041,27140,100000
19128,64.109651,27101,100000
19208,64.197375,27269,100000
19288,63.391263,27526,100000
19368,63.742379,27480,100000
19448,64.827112,27521,100000
19528,64.904438,27341,100000
19608,67.290604,27890,100000
19688,64.029245,27996,100000
19768,65.116416,28320,100000
19848,67.009280,27961,100000
19928,67.088575,28264,100000
20008,68.266991,28543,100000
20088,66.723097,28564,100000
20168,66.753585,28564,100000
20248,66.915166,28798,100000
20328,66.917702,28876,100000
20408,67.305449,28735,100000
20488,67.566875,29191,100000
20568,67.637660,29180,100000
20648,68.408836,29538,100000
20728,69.235445,29265,100000
20808,69.567658,29830,100000
20888,70.694828,29522,100000
20968,69.711134,30073,100000
21048,68.822838,29763,100000
21128,70.161183,30104,100000
21208,69.167454,30112,100000
21288,68.918906,30415,100000
21368,70.076464,30180,100000
21448,70.013399,30434,100000
21528,69.539158,30384,100000
21608,71.141072,30776,100000
21688,70.507097,30630,100000
21768,70.645122,31103,100000
21848,71.125671,31143,100000
21928,72.343413,30848,100000
22008,71.433708,31256,100000
22088,72.160558,31295,100000
22168,74.463127,31583,100000
22248,72.933095,31492,100000
22328,74.850670,31882,100000
22408,72.127096,31824,100000
22488,72.367843,31918,100000
22568,73.282157,31799,100000
22648,72.364128,32154,100000
22728,75.720576,32046,100000
22808,78.073431,32434,100000
22888,75.379498,32748,100000
22968,77.056279,32673,100000
23048,74.620743,32792,100000
23128,77.021606,32857,100000
23208,75.913436,33103,100000
23288,74.861445,33142,100000
23368,76.638038,33017,100000
23448,76.166158,33030,100000
23528,75.695760,33559,100000
23608,77.057522,33637,100000
23688,75.768591,33972,100000
23768,75.695234,33819,100000
23848,77.138267,33605,100000
23928,75.590466,34018,100000
24008,77.779035,34218,100000
24088,77.697513,33939,100000
24168,77.760384,34547,100000
24248,76.617088,34292,100000
24328,77.136569,34243,100000
24408,83.000645,34494,100000
24488,84.194089,34734,100000
24568,85.369424,35044,100000
24648,85.400912,35269,100000
24728,85.794641,35251,100000
24808,85.828051,34968,100000
24888,86.589270,35120,100000
24968,87.190842,35590,100000
25048,86.097936,35277,100000
25128,86.477832,35867,100000
25208,86.590627,35787,100000
25288,86.082774,35965,100000
25368,87.069148,36189,100000
25448,87.580193,35904,100000
25528,86.524145,36402,100000
25608,87.923326,36110,100000
25688,89.007026,36447,100000
25768,87.878161,36331,100000
25848,90.640333,36720,100000
