ruleset_index	matches	time_ms
0	[(3,17912),(4,4259),(5,12329),(6,15820),(8,8971),(9,4460),(16,7731),(22,14982),(25,15569),(29,14904),(32,21756),(34,3792),(35,20581),(36,9636),(37,1629),(39,21391),(42,8625),(44,19286),(45,21098),(47,16132),(59,8157),(62,2150),(66,8500),(67,15053),(70,14404),(74,5361),(76,85),(79,7462),(80,15094),(84,18944),(86,8552)]	60.529022
1	[(3,10240),(5,16608),(9,20839),(13,9127),(16,14689),(19,15838),(20,12455),(21,14441),(26,2382),(29,9091),(30,6121),(31,16490),(32,12352),(36,17303),(39,12466),(40,951),(49,7339),(51,462),(56,1127),(57,3160),(58,20779),(61,9030),(66,4004),(68,5827),(72,16934),(74,15004),(76,6147),(80,5280),(82,10496),(84,11210),(85,678)]	61.581226
2	[(0,91),(2,19466),(6,16347),(9,16665),(12,6856),(14,2837),(20,7076),(21,1859),(22,9538),(28,4556),(30,6402),(35,5028),(39,6553),(40,10095),(43,19440),(44,17774),(45,8444),(51,497),(52,9750),(53,2354),(54,20595),(55,6977),(57,15398),(58,11505),(63,12619),(64,7462),(65,15094),(71,2714),(73,15952),(85,20163),(87,1279),(92,315)]	79.032985
3	[(1,8236),(3,12716),(7,9507),(8,16339),(13,5254),(16,5078),(17,5138),(18,9052),(22,12205),(23,6388),(29,3079),(30,16115),(32,19112),(34,12202),(35,18584),(38,18392),(40,13825),(43,5280),(49,14036),(50,15914),(51,21523),(52,15917),(54,10608),(55,14732),(60,4784),(64,10103),(66,17762),(69,12070),(72,13616),(74,2358),(75,3603),(76,20714),(77,2210),(85,10660),(88,12163),(89,16804),(90,9541)]	70.846334
4	[(2,12017),(8,15031),(12,17607),(22,1313),(23,10700),(31,20950),(35,4154),(37,18099),(38,5695),(39,4716),(41,10317),(42,16554),(59,19425),(60,8214),(68,2665),(71,1964),(72,6637),(74,5823),(75,2132),(77,4136),(85,838),(87,8243),(89,5875),(90,8348)]	62.508258
5	[(0,12072),(4,983),(5,20478),(10,2141),(11,4272),(12,17741),(16,13227),(17,14934),(19,6826),(23,9943),(30,13700),(31,10319),(35,3709),(36,20610),(37,16538),(40,10272),(48,3191),(54,9962),(57,763),(64,20910),(65,5102),(67,1055),(68,21680),(71,4669),(73,9944),(75,10595),(81,18008),(83,5663),(85,10300),(87,10208),(88,17094),(89,20419),(91,4162)]	60.569160
6	[(0,13452),(2,5570),(3,2600),(6,15976),(8,10140),(9,845),(10,15640),(14,14767),(18,7695),(19,21301),(20,19155),(21,3469),(22,7298),(27,11137),(28,9820),(32,16375),(34,8715),(38,1950),(47,9066),(48,10680),(53,1712),(54,17083),(58,12196),(61,117),(69,514),(74,7502),(78,10555),(79,16688),(81,5064),(84,6267),(85,10774),(86,17401),(88,21140),(89,17379),(90,10671)]	60.725820
7	[(1,3600),(5,3877),(8,1390),(15,22011),(16,22042),(17,9856),(23,4325),(29,13932),(31,9313),(38,7951),(43,13204),(44,17666),(45,6323),(46,236),(54,19546),(59,10293),(61,17336),(65,21586),(68,21454),(72,3390),(74,13590),(75,16162),(77,18804),(79,5522),(80,17064),(81,7625),(90,1366),(91,863)]	60.287873
8	[(4,3818),(5,8983),(6,14231),(9,6465),(10,9458),(17,4547),(19,18565),(22,3013),(24,4387),(29,8946),(33,14355),(34,14814),(36,13385),(41,9787),(44,12512),(45,18078),(46,12268),(47,1657),(48,1157),(49,10428),(55,10527),(59,20578),(61,16810),(62,7278),(71,19873),(73,9048),(74,9937),(83,1168),(84,17985),(85,11169),(86,13856),(89,11157),(90,11918),(92,5545)]	60.782786
9	[(2,14043),(6,7523),(8,9695),(10,2239),(11,20655),(17,14579),(18,8295),(20,3035),(22,4343),(23,8679),(24,10563),(26,21791),(31,16700),(34,20370),(43,7092),(47,7367),(50,12291),(60,3757),(67,2887),(69,16406),(70,17476),(75,15455),(76,10915),(77,16802),(78,10387),(79,18808),(80,7352),(82,10465),(84,16116),(91,406),(92,3057)]	60.548681
