ruleset_index	matches	time_ms
0	[(0,13130),(1,34852),(3,38534),(4,22829),(6,36842),(7,13943),(8,22573),(9,8981),(10,19072),(12,30008),(14,1249),(16,13153),(17,19288),(19,26415),(20,41695),(22,21577),(23,13152),(24,41602),(25,16320),(26,28815),(29,12231),(31,28295),(32,25762),(33,10854),(35,26345),(36,18518),(37,22710),(38,19331),(39,31542),(40,10743),(42,30355),(43,36358),(45,17944),(49,29231),(52,5619),(53,23583),(54,30164),(55,39919),(56,14067),(61,4649),(62,18632),(63,10960),(66,34664),(67,12094),(68,29012),(69,27351),(70,28217),(74,9676),(75,27302),(76,19671),(79,2914),(81,3371),(82,36654),(84,14776),(85,29703),(86,37976),(88,36306),(89,13708),(90,22201),(91,14737),(92,13392)]	129.858470
1	[(1,29439),(3,8894),(4,30566),(7,10814),(8,19724),(9,42210),(11,2467),(12,13407),(13,6686),(15,22359),(17,9899),(21,8923),(22,10581),(23,18955),(25,40331),(28,24978),(30,38626),(31,19056),(33,33760),(34,11175),(35,15234),(37,645),(38,17360),(40,24378),(41,39942),(42,6569),(43,33306),(44,2733),(45,16021),(46,33474),(49,42580),(52,19470),(53,38913),(54,9872),(55,38939),(57,1584),(58,23),(59,25214),(60,7334),(62,2992),(63,37786),(66,29720),(68,16246),(69,36398),(71,19061),(72,32631),(75,13233),(77,31319),(79,20807),(80,14245),(81,31377),(82,3264),(83,14997),(84,19572),(85,41810),(88,25585)]	135.525963
2	[(0,32319),(1,33874),(4,33509),(5,25469),(8,26848),(9,5822),(11,6807),(12,25162),(13,2610),(15,12330),(16,35203),(17,22318),(18,5889),(22,16561),(23,35568),(25,27133),(27,15785),(29,8135),(31,11988),(32,998),(34,22039),(35,28229),(36,7428),(38,13130),(39,42313),(40,13331),(41,32279),(42,37147),(43,33270),(44,32896),(45,310),(46,5270),(47,18083),(48,34205),(54,30893),(55,24177),(56,1040),(60,22408),(61,14399),(62,33549),(63,25305),(64,2914),(66,3371),(68,31621),(71,13815),(73,39649),(74,25044),(77,10798),(78,15602),(79,5030),(80,15643),(81,5586),(82,28272),(84,6692),(85,13169),(87,16236),(88,21086),(91,32085),(92,35949)]	127.112969
3	[(1,38607),(2,37152),(3,11295),(5,39187),(6,21451),(8,29),(10,42463),(14,23592),(15,2120),(20,7155),(22,12353),(23,22832),(24,12422),(25,32789),(26,12586),(28,3025),(31,29171),(32,9466),(33,38316),(35,42308),(36,40189),(37,12418),(40,4873),(42,20807),(43,14245),(44,24072),(46,29008),(48,27882),(49,926),(51,24038),(52,9216),(55,28136),(58,21464),(62,34),(63,41583),(64,37204),(66,33181),(67,10094),(69,22407),(71,20597),(72,28695),(73,36536),(74,16864),(75,18546),(76,29201),(77,13638),(78,42094),(80,23596),(81,841),(82,33542),(86,27505),(87,30106),(89,31613),(91,38739),(92,17826)]	119.708478
4	[(0,28592),(1,27367),(2,12531),(3,5657),(4,293),(5,17307),(6,38010),(7,20383),(10,22438),(11,26640),(15,32364),(17,11612),(20,22055),(21,10308),(22,27082),(23,20107),(24,31855),(26,32431),(27,15524),(28,18446),(30,23940),(31,33613),(33,1789),(34,12411),(36,32262),(38,10212),(39,13124),(42,31333),(43,33241),(46,13537),(47,37146),(48,16234),(49,20238),(50,42764),(51,15956),(52,36260),(53,2558),(54,2907),(55,10837),(57,25175),(58,23361),(59,30465),(61,541),(63,29320),(65,19775),(67,17343),(69,36739),(72,36591),(73,13291),(75,40083),(76,11145),(77,2782),(79,5839),(80,17264),(81,36274),(82,30309),(83,40433),(84,21020),(87,35716),(88,34260),(89,32945),(90,28604),(91,24661),(92,41569)]	118.821883
5	[(0,37599),(2,17118),(5,37123),(8,39418),(9,1611),(12,17269),(14,34582),(15,24332),(16,16441),(18,9809),(20,38974),(21,40170),(22,40710),(23,21732),(25,42335),(29,34992),(31,10349),(33,16607),(35,10262),(36,664),(37,14998),(38,38251),(39,15795),(40,7733),(42,20333),(43,7241),(45,15159),(46,34702),(47,29907),(48,17241),(49,1471),(50,36934),(51,37053),(52,26007),(53,5634),(54,20590),(55,42820),(60,7795),(63,4761),(64,13674),(65,1751),(66,31727),(67,6346),(68,10096),(69,28432),(70,5116),(71,27962),(72,33700),(73,1200),(74,12924),(75,41141),(76,7388),(77,25783),(80,36895),(81,9358),(82,30876),(85,18925),(86,38246),(87,30711),(88,2757),(89,14395),(92,28219)]	123.332009
6	[(1,36681),(2,3944),(4,12961),(5,36424),(7,28932),(8,30958),(12,33453),(16,19978),(18,2165),(19,25826),(21,40056),(22,36215),(23,12791),(24,4689),(25,37626),(26,40584),(27,29086),(28,22061),(29,11061),(30,36767),(32,8207),(34,5247),(35,540),(38,7937),(39,24273),(40,19352),(41,18444),(45,559),(46,26073),(47,1426),(49,31165),(50,4254),(51,38051),(52,31837),(53,9815),(54,28701),(55,6742),(56,16624),(57,7443),(58,23435),(59,34441),(60,32757),(61,39750),(63,8491),(64,17537),(66,9775),(67,20377),(68,39506),(73,10496),(74,26855),(76,2719),(79,38219),(80,16697),(81,21362),(83,26678),(84,17303),(85,36145),(86,12507),(87,16784),(88,37373),(89,13523),(90,15732),(91,2218),(92,37074)]	115.117082
7	[(2,22147),(3,19227),(4,12564),(6,20129),(7,31466),(8,41990),(9,28601),(11,25113),(12,30540),(13,41647),(14,1316),(16,15161),(18,37153),(19,34630),(21,11837),(22,41944),(23,30442),(24,19777),(25,10230),(26,24535),(27,34884),(28,6876),(30,26885),(31,27117),(32,626),(35,11050),(36,25255),(37,4374),(38,9912),(40,3183),(42,13031),(44,8815),(46,34333),(49,36746),(52,18181),(53,3892),(55,29509),(56,35134),(57,13804),(59,21424),(64,17272),(65,4504),(68,21452),(69,10866),(73,37969),(74,10985),(76,7520),(77,14807),(79,4816),(80,7811),(83,27290),(85,7266),(87,13365),(88,14428),(89,31711),(90,19217),(91,6785),(92,25842)]	119.049780
8	[(1,19755),(2,10859),(5,8562),(6,32209),(7,19811),(8,31105),(12,10593),(13,34123),(15,29391),(18,37511),(19,11057),(20,29630),(21,1022),(22,34593),(26,2432),(27,4839),(28,12864),(29,30436),(30,28644),(32,37400),(35,3562),(36,33050),(37,28798),(40,18512),(42,33842),(43,12893),(44,29419),(45,9538),(46,25388),(47,17518),(48,21827),(49,15134),(51,30705),(52,570),(54,23592),(55,18091),(58,34320),(59,49),(62,7264),(63,28785),(65,23699),(67,31256),(69,35688),(71,14750),(72,41286),(73,16718),(74,27583),(76,16872),(77,621),(78,14667),(79,39020),(80,1988),(82,35286),(83,37342),(85,37610),(87,31252),(89,34289),(92,17432)]	118.324838
9	[(0,2829),(1,32026),(3,32588),(4,16336),(5,35746),(6,8946),(7,36243),(8,15469),(15,24010),(16,12521),(17,40942),(19,36931),(22,3666),(24,35182),(27,7238),(28,20543),(29,7539),(30,6368),(31,38275),(33,3412),(34,6468),(35,33097),(36,18129),(39,7549),(40,35643),(41,42432),(43,7948),(44,2089),(45,33305),(46,1173),(47,8749),(52,15589),(54,27923),(55,23875),(57,35249),(62,30849),(64,10362),(65,31749),(66,2944),(67,31740),(69,19910),(70,2124),(71,33290),(74,29538),(78,6375),(79,32971),(81,23254),(82,39084),(84,27724),(85,13355),(86,8402),(87,16802),(88,40478),(89,20503),(90,30),(91,24017),(92,10161)]	143.292298
