ruleset_index	matches	time_ms
0	[(1,18704),(3,17940),(8,17503),(10,26631),(11,16732),(13,119),(14,9645),(15,9428),(18,15583),(19,4630),(20,20782),(21,1845),(22,14171),(23,27178),(24,25437),(26,3344),(28,19357),(30,23180),(31,10929),(32,26506),(33,2375),(34,3956),(35,7246),(40,6248),(41,19871),(43,6287),(45,23045),(47,27355),(48,25986),(49,16211),(52,23594),(53,17581),(59,17101),(60,15054),(61,29228),(62,22696),(63,5232),(64,6258),(68,6900),(75,13337),(77,22470),(80,26784),(83,16281),(84,17556),(86,16663),(88,28875),(89,23704),(90,9794),(91,9788)]	94.812096
1	[(0,19945),(1,32226),(2,30735),(3,31807),(8,20447),(9,19),(10,21945),(11,8106),(17,24683),(19,2597),(20,25810),(21,3588),(24,30244),(25,23637),(28,14082),(32,4044),(39,5509),(40,23579),(41,29652),(43,24445),(44,17025),(45,22373),(46,21516),(50,16146),(51,26221),(52,26810),(54,18963),(56,14778),(65,31672),(66,18136),(70,20700),(71,10885),(75,18341),(77,29782),(79,6273),(80,31008),(83,19760),(85,15637),(90,19810)]	90.024826
2	[(0,3814),(3,16368),(4,24618),(7,32224),(11,12427),(12,30731),(13,29065),(15,31488),(16,24998),(17,1142),(18,15137),(19,21964),(20,1241),(22,9744),(23,25076),(24,12533),(25,2934),(30,29179),(32,3303),(34,27387),(35,8028),(39,7076),(41,20949),(43,16305),(44,19225),(47,11586),(50,219),(51,20995),(52,19011),(53,16446),(54,16108),(57,29220),(58,233),(61,13838),(62,4033),(63,26463),(65,26784),(67,17255),(68,19153),(82,3649),(86,286),(87,17739)]	108.071759
3	[(0,4366),(1,8717),(9,11639),(10,5296),(12,20206),(14,10086),(15,2768),(16,15502),(18,2299),(20,6161),(22,8338),(23,8177),(26,27035),(27,39),(31,20229),(34,1539),(35,7345),(36,10714),(37,26525),(41,28237),(42,6273),(43,31008),(47,8569),(50,21043),(53,9225),(54,1941),(59,17960),(60,4281),(62,6166),(63,21274),(64,4804),(65,19002),(66,30245),(67,1032),(68,5333),(69,5145),(72,14300),(73,17472),(74,20450),(75,28320),(76,2261),(78,23564),(80,28222),(81,26427),(82,5107),(83,8601),(84,30063),(86,31292),(87,10313),(89,25527),(90,27322)]	96.412383
4	[(0,6169),(2,320),(8,15478),(11,31046),(13,30248),(15,28905),(16,24646),(18,22817),(19,9235),(20,30485),(23,15009),(25,32317),(27,11547),(29,12671),(31,25160),(32,4787),(34,29801),(35,801),(36,25051),(37,1107),(39,12737),(42,3204),(44,21543),(46,13421),(48,28666),(50,643),(52,6195),(54,14151),(55,22464),(57,23419),(58,1160),(59,4500),(63,4603),(66,22848),(67,395),(68,13000),(70,6732),(71,17186),(74,24062),(75,5956),(76,5016),(80,32663),(82,22650),(83,22687),(84,968),(85,10739),(87,19519),(89,2017)]	92.585863
5	[(1,13511),(5,13279),(6,15860),(8,24073),(9,1675),(11,12700),(12,1127),(14,18395),(16,19018),(17,22048),(18,2628),(20,16554),(21,18904),(24,27436),(26,18960),(30,19490),(31,12963),(33,3365),(34,10919),(37,17127),(43,19313),(45,24895),(49,30365),(50,15809),(54,31878),(55,26430),(56,27633),(59,21588),(60,1616),(62,29492),(65,28622),(67,16757),(70,3138),(73,18287),(74,12544),(76,25846),(77,18542),(78,792),(79,18632),(85,15363),(86,29188),(89,17049),(90,10943),(91,12000)]	93.692368
6	[(0,18606),(1,3298),(3,28806),(6,26900),(7,18217),(9,27915),(12,15638),(17,2469),(20,9110),(22,19788),(30,28396),(31,18837),(32,10861),(33,30004),(41,25264),(42,21610),(44,17833),(45,12478),(47,29693),(48,17169),(49,27198),(51,10761),(52,8387),(53,13653),(55,14095),(56,16876),(60,20280),(64,23755),(67,3972),(68,30987),(70,28298),(72,29818),(73,16319),(76,17705),(77,5191),(79,7419),(81,28575),(84,1525),(86,24397),(87,1198),(90,14732),(92,27202)]	96.641166
7	[(0,9338),(1,24672),(4,22408),(5,8362),(6,24552),(7,10786),(9,8205),(10,17703),(11,15452),(13,32546),(14,24592),(17,29313),(18,2687),(19,9858),(24,32598),(27,11378),(28,10287),(29,20404),(31,31995),(35,19197),(36,26405),(37,7074),(39,10614),(40,1155),(43,29707),(44,400),(45,21235),(46,27837),(47,24927),(49,11830),(50,12195),(52,28474),(53,26304),(56,29010),(57,25581),(62,23823),(63,7923),(65,19581),(66,5411),(70,729),(72,12775),(73,9166),(75,23117),(77,13569),(78,31418),(79,30275),(81,19096),(82,12228),(83,27779),(85,24913),(86,12138),(87,16481),(88,24905),(89,23448),(90,29085),(91,22317)]	102.574700
8	[(0,30695),(1,18448),(2,24715),(3,29651),(4,14380),(5,14488),(7,12212),(8,29312),(9,22027),(10,9380),(12,24722),(15,538),(16,10569),(18,12333),(19,1096),(20,3161),(21,12378),(22,7117),(24,28425),(25,4446),(27,27726),(28,1233),(35,383),(37,23923),(38,29183),(39,7980),(43,2216),(44,30926),(47,3743),(49,27486),(50,10975),(51,6662),(52,11207),(53,21398),(54,10086),(57,31238),(59,24809),(60,13362),(61,15077),(65,9480),(66,12035),(69,4134),(70,28803),(74,14458),(76,15496),(77,16439),(78,12366),(79,16012),(80,29984),(81,19494),(82,30388),(85,31312),(86,3719)]	121.594232
9	[(5,20976),(8,19178),(9,26340),(13,6157),(14,32166),(16,2384),(17,10253),(18,22237),(19,31075),(21,7645),(22,31606),(27,17045),(28,21505),(30,5533),(34,9447),(35,18717),(38,15381),(39,25596),(40,20172),(45,32322),(46,26050),(49,17325),(50,30150),(51,18242),(54,7921),(55,19780),(56,25648),(57,32025),(58,13831),(59,30764),(62,27786),(64,26003),(65,17422),(68,22824),(71,8029),(72,4771),(73,7078),(76,2235),(79,15919),(84,26131),(86,31327),(89,27743),(91,28177)]	95.311811
10	[(0,24737),(1,32700),(2,4182),(5,16816),(7,8198),(10,5119),(11,31643),(12,22137),(13,14965),(15,14856),(16,24037),(18,29143),(19,15660),(20,13735),(21,14713),(24,22444),(25,14905),(27,10531),(29,23078),(31,23356),(32,13163),(34,16847),(38,14513),(42,98),(43,31495),(44,2498),(45,32629),(49,13018),(52,32645),(54,24255),(55,29074),(56,5698),(58,11364),(59,6084),(60,4927),(61,19310),(66,17157),(68,2871),(69,23701),(70,23375),(71,17172),(75,4506),(76,7276),(77,21140),(79,14976),(80,31376),(81,11861),(83,13882),(84,14643),(87,26829),(88,24410),(89,9424),(92,3284)]	95.226475
11	[(1,20574),(2,15793),(7,2726),(9,3174),(10,16075),(18,16952),(19,22331),(22,15562),(24,27801),(27,16072),(28,13679),(29,2521),(31,7215),(35,7173),(36,28528),(40,21864),(41,14989),(44,27297),(47,14107),(52,32508),(55,14807),(58,9239),(59,11979),(63,12379),(67,18887),(68,12041),(69,25142),(71,11156),(72,9843),(73,5263),(74,21522),(76,7114),(78,11424),(81,1453),(82,31940),(83,16445),(84,4664),(86,6932),(87,27485),(89,5595),(90,11223),(92,22993)]	98.156143
12	[(0,1212),(4,6963),(6,27605),(8,20861),(10,5855),(12,30772),(14,32323),(16,1254),(17,32649),(20,5644),(22,21876),(25,25042),(26,29634),(27,29322),(30,8216),(31,23348),(33,23578),(35,29920),(36,15946),(38,24913),(40,24378),(41,3039),(43,7874),(45,20627),(47,12246),(48,2816),(50,4723),(51,19096),(52,4863),(53,13344),(54,10885),(60,16878),(61,6786),(64,3478),(66,25622),(67,26729),(68,2840),(70,29176),(71,12216),(73,12203),(76,15196),(77,19031),(79,32671),(80,32166),(84,29898),(85,28945),(87,29057),(89,3877),(90,26174)]	112.549446
13	[(0,13444),(1,6775),(5,30207),(8,31841),(9,25466),(10,24214),(12,10005),(13,5591),(14,27945),(15,27993),(18,18256),(19,29495),(20,13366),(21,13803),(24,20612),(27,24739),(29,32255),(31,1013),(33,11959),(35,8482),(36,714),(38,2087),(40,29645),(42,6685),(43,27889),(44,23626),(46,10183),(48,17033),(50,22357),(52,15265),(55,12294),(57,10963),(58,32534),(59,20237),(60,17032),(61,12532),(65,1424),(66,13615),(68,24243),(69,23148),(70,27456),(72,29057),(73,30805),(74,33),(75,1714),(76,14246),(77,26248),(79,11014),(80,23099),(81,15065),(83,6888),(85,5736),(86,28749),(88,27949),(90,28643)]	94.440643
14	[(3,13152),(4,7281),(6,28152),(16,1330),(18,11567),(21,10234),(23,2100),(24,21438),(25,9811),(29,21894),(31,30035),(32,2896),(35,17659),(36,4070),(37,9620),(39,15431),(40,7384),(41,12754),(42,14338),(47,7577),(50,11840),(53,23141),(55,22855),(57,12601),(58,17799),(59,15372),(61,360),(64,24770),(66,15375),(68,27824),(70,13566),(72,25853),(74,31822),(76,32685),(79,7984),(80,17500),(83,7280),(89,3122),(92,25467)]	92.341868
15	[(1,20449),(2,15656),(4,19821),(5,29011),(7,25884),(8,4259),(9,20121),(12,8525),(13,7276),(16,1526),(17,16151),(18,9062),(20,3029),(22,19338),(27,19456),(28,24569),(33,1749),(35,5564),(38,8821),(39,12283),(43,25334),(44,28961),(45,7117),(47,21905),(48,675),(49,10130),(50,6003),(51,27177),(53,19950),(54,2563),(55,4712),(56,8072),(57,23872),(58,16898),(59,13950),(64,13532),(66,14028),(71,6597),(72,2206),(73,20168),(74,20726),(82,17131),(90,32320),(92,6087)]	95.150355
16	[(0,13111),(1,17273),(3,14918),(5,9523),(6,6035),(8,735),(11,4698),(12,12599),(15,14060),(18,16313),(20,1939),(21,1678),(22,28637),(23,19080),(24,13310),(26,725),(27,30987),(28,8676),(31,10401),(32,361),(33,31785),(36,17135),(37,3759),(38,4818),(39,5374),(43,23450),(46,29063),(47,14867),(48,5392),(49,25856),(50,10869),(51,24163),(56,12823),(60,7488),(61,28882),(64,15754),(66,24693),(69,18995),(70,28174),(71,32010),(73,9066),(75,10562),(78,12891),(81,2638),(82,24702),(83,17015),(86,28939),(87,27524),(89,27458),(90,20839),(92,13491)]	97.700582
17	[(0,29754),(4,18659),(5,16157),(7,26473),(9,653),(10,26653),(11,7983),(14,15684),(15,14834),(17,655),(18,27074),(19,12872),(21,11162),(23,4496),(26,31556),(27,13438),(32,22661),(35,27601),(36,32474),(38,20298),(40,25144),(41,13855),(44,9434),(46,27582),(47,31227),(50,14452),(51,24288),(55,19091),(56,11041),(57,17215),(61,7667),(62,350),(65,6074),(66,17304),(67,25521),(73,19781),(75,4163),(76,25928),(77,12053),(80,31052),(81,31630),(84,26265),(85,16094),(87,14611),(89,3553),(90,13059),(92,22982)]	106.464210
18	[(1,22026),(2,29383),(4,2131),(6,19698),(8,6163),(9,8943),(10,32480),(11,27827),(13,7979),(14,3359),(16,22611),(18,1852),(20,25373),(21,1282),(22,13631),(23,27302),(24,28807),(27,31908),(29,10206),(30,20954),(31,20034),(32,12735),(34,26456),(36,12698),(37,29823),(39,16424),(41,24198),(43,13023),(44,19881),(45,18917),(46,8170),(48,867),(55,1899),(56,15473),(57,3516),(59,3218),(61,21128),(64,6877),(67,5813),(68,29712),(71,24898),(74,4408),(77,6109),(78,13149),(80,29294),(82,15026),(84,31457),(86,27612),(87,11965),(89,27792),(91,4422),(92,15850)]	124.819280
19	[(4,27194),(5,28695),(9,20213),(12,12864),(13,9550),(14,18741),(17,6029),(18,19082),(19,14601),(20,15239),(21,24426),(22,31833),(23,7282),(26,11258),(27,24377),(29,4379),(30,14648),(31,3916),(32,21244),(33,28531),(35,5727),(37,28167),(41,9416),(43,16862),(44,3523),(49,18534),(50,28623),(51,20174),(54,30014),(56,22317),(57,15608),(62,3300),(63,9574),(64,7361),(65,2310),(67,28923),(71,6461),(72,4952),(73,11591),(75,26524),(79,15699),(81,1040),(82,20701),(83,27009),(88,11687),(90,10799),(91,15705),(92,7644)]	100.342873
20	[(0,10887),(1,15004),(4,4826),(5,16041),(7,13497),(14,24903),(15,2591),(19,8080),(21,26038),(22,28421),(27,17754),(29,12072),(30,14829),(31,3818),(32,15935),(35,23964),(41,10320),(43,28044),(44,4721),(45,9682),(47,1059),(48,21071),(49,29846),(51,20263),(54,22776),(56,3115),(57,9541),(58,20905),(60,3436),(61,30049),(62,28742),(65,9441),(66,10530),(67,7755),(68,15442),(69,14719),(70,4879),(72,13598),(73,5070),(74,30401),(75,18543),(76,216),(77,23412),(78,30669),(79,10468),(89,18261),(91,3908)]	96.199364
21	[(1,5662),(3,27826),(5,79),(7,4040),(9,26491),(15,26215),(18,9271),(22,32201),(25,26107),(27,21899),(31,32111),(36,11771),(37,25746),(38,16240),(39,11011),(41,21751),(45,9654),(48,13440),(49,20293),(52,11836),(54,21033),(55,22272),(56,6538),(57,103),(61,1495),(63,13567),(64,17426),(65,31718),(66,19623),(67,17795),(70,8436),(71,31898),(73,9718),(74,6316),(76,10620),(78,914),(79,22256),(80,29987),(81,21296),(83,29103),(90,2144),(92,19545)]	96.828352
22	[(1,2329),(3,15914),(6,2217),(8,32402),(10,19176),(11,22881),(12,20447),(13,19),(14,8580),(15,18451),(16,19651),(17,12194),(18,26354),(20,19705),(21,11397),(26,22805),(27,8358),(28,29039),(29,1795),(30,28328),(31,12919),(38,29313),(40,26244),(41,19949),(42,25297),(43,16140),(44,2422),(45,20200),(46,14766),(47,10957),(49,21977),(52,20464),(53,10394),(54,31029),(56,22927),(60,31549),(61,2542),(63,29111),(66,13789),(67,660),(69,19332),(70,8864),(72,1355),(75,26460),(76,8040),(77,12927),(80,5415),(85,16928),(86,25477),(87,19830),(88,19657),(90,14519),(91,18887),(92,28390)]	107.608921
23	[(3,7352),(5,1965),(6,3892),(10,29800),(11,27393),(17,9920),(22,2130),(25,12967),(28,30264),(30,22233),(31,2787),(34,29727),(37,21461),(41,12459),(42,29178),(46,5130),(49,25386),(50,13249),(51,344),(52,11551),(53,4957),(56,26231),(58,22060),(59,8273),(60,3826),(62,9010),(65,224),(67,13708),(69,32531),(70,174),(72,17880),(76,3311),(78,7684),(81,13182),(82,9306),(83,32160),(84,27952),(88,3494),(89,27902),(91,17866)]	99.568912
24	[(0,28584),(2,994),(3,13771),(5,7987),(6,6198),(9,2561),(12,19420),(15,3496),(17,12729),(20,25524),(21,17330),(26,25199),(31,32533),(32,4826),(36,27367),(38,18093),(39,30335),(43,21160),(44,29896),(47,19710),(50,27495),(51,9816),(52,26361),(56,653),(58,9376),(60,31531),(62,6157),(64,12396),(69,18752),(70,26897),(71,13331),(74,23781),(75,12918),(77,15376),(78,28462),(81,32704),(82,11106),(83,21073),(84,20261),(86,6230),(88,8205),(89,6601),(90,31485),(91,18942),(92,18461)]	94.446859
25	[(2,4334),(3,30178),(4,26175),(5,9765),(7,32155),(9,9272),(10,30107),(12,21319),(13,4496),(15,22607),(16,16421),(17,22049),(21,22197),(22,28310),(28,3315),(29,7826),(32,14747),(33,7223),(34,29134),(35,29395),(36,19767),(37,29390),(38,8213),(40,24002),(41,17790),(45,10426),(47,29599),(48,22102),(51,3732),(52,6306),(53,16857),(54,27528),(55,13961),(57,31117),(59,29595),(62,5250),(63,26942),(67,25076),(68,12533),(71,1612),(73,13046),(74,3455),(76,26310),(77,23356),(78,13163),(80,12892),(81,32112),(82,2458),(84,7848),(85,4207),(86,12054),(87,11780),(89,3096),(92,5170)]	99.721303
26	[(0,31739),(1,20048),(11,3316),(14,15354),(15,12175),(22,13951),(23,29603),(25,24286),(27,8143),(28,17320),(32,6135),(35,23393),(36,1930),(37,10757),(38,2239),(39,8754),(41,30252),(43,23166),(44,9993),(46,10998),(47,9008),(49,32234),(51,12006),(54,19890),(56,2646),(57,1703),(60,6290),(61,29718),(62,5413),(63,7007),(67,3676),(69,8638),(70,5700),(71,16294),(72,27169),(73,9475),(75,18423),(76,22780),(77,14233),(79,15920),(81,6251),(85,2401),(86,6659),(87,6188),(88,5644),(90,32483),(92,7067)]	105.178609
27	[(1,6700),(3,10987),(4,7176),(5,10649),(6,30390),(7,25422),(9,16913),(13,20231),(15,31806),(16,12413),(17,8969),(19,19763),(20,14409),(21,23757),(25,2738),(26,7339),(27,25028),(30,30127),(31,29089),(34,2054),(37,13773),(39,18412),(41,28541),(43,267),(44,20238),(46,20096),(48,14398),(49,25716),(52,24058),(54,14636),(55,22612),(57,6420),(59,32204),(61,31389),(64,28369),(65,8635),(68,9973),(71,17600),(73,32582),(74,24612),(75,3795),(76,6960),(79,7544),(80,16790),(82,30975),(83,9496),(84,7294),(85,18531),(87,7119),(88,4928),(89,15493)]	112.462503
28	[(3,14293),(8,31551),(12,8010),(14,777),(15,6752),(18,7245),(20,10669),(21,6426),(22,17481),(24,22343),(25,11668),(26,20846),(31,7414),(33,6253),(35,1372),(36,9327),(37,11001),(39,8546),(40,8374),(41,6018),(47,1801),(48,7498),(49,10090),(50,25033),(54,6828),(56,15201),(62,16793),(64,19803),(67,2874),(68,18620),(76,30844),(79,15847),(83,15974),(84,29),(86,2979),(89,9717)]	120.166195
29	[(0,29114),(1,32425),(5,5625),(6,13979),(7,28905),(9,7810),(11,2651),(13,30957),(14,21715),(15,31037),(16,21001),(19,10995),(20,5539),(21,19720),(23,26400),(24,31259),(25,7759),(27,16746),(28,12704),(30,20182),(32,23085),(34,18789),(36,510),(39,10120),(42,6659),(43,25601),(44,22398),(45,14687),(46,21895),(48,6182),(50,1364),(54,20020),(58,22407),(59,3125),(61,7628),(62,11241),(63,6481),(64,32456),(66,1084),(68,3623),(71,3379),(72,31872),(75,8365),(79,11097),(80,20604),(83,31188),(85,26754),(87,31980),(88,29266),(90,9797)]	99.384700
30	[(3,2401),(5,1140),(6,23337),(9,26911),(10,25912),(13,19464),(14,8560),(16,296),(19,9347),(20,30709),(24,6765),(26,23411),(30,16638),(34,13354),(35,20276),(38,24303),(39,12844),(41,14934),(42,4545),(44,24977),(46,12297),(51,25029),(53,22730),(54,28903),(55,30559),(56,7094),(59,82),(60,27367),(62,23804),(65,15732),(66,27018),(67,17122),(72,4426),(76,16883),(77,18196),(78,17847),(79,7306),(86,10382),(92,31852)]	95.874836
31	[(1,1931),(2,6420),(3,17686),(5,14729),(6,1313),(7,3043),(8,21227),(9,1249),(11,15324),(15,25025),(16,16899),(17,18509),(18,30501),(19,7646),(21,21712),(22,20425),(24,13496),(25,26917),(30,5873),(33,6055),(35,28988),(37,17886),(38,30381),(40,9746),(41,19033),(44,18346),(47,4996),(49,32155),(50,23309),(51,14351),(52,465),(53,6033),(55,5717),(57,3739),(60,26842),(66,26432),(67,270),(69,17668),(70,1821),(73,10813),(76,27586),(82,3264),(85,23395),(86,9724),(90,14795)]	107.956017
32	[(3,4113),(4,10572),(7,12075),(8,18906),(13,26764),(15,8827),(17,31030),(18,4608),(19,20484),(21,30727),(22,29459),(23,11878),(25,1647),(26,30664),(29,9416),(31,26022),(32,23114),(33,12023),(34,7909),(35,16854),(36,26501),(40,13943),(41,26102),(42,26890),(43,15735),(44,18088),(50,26446),(53,3725),(55,1315),(57,32679),(59,21061),(64,212),(65,6194),(66,1798),(68,19507),(69,19683),(73,21845),(74,18513),(75,26796),(81,10815),(82,7773),(83,27512),(84,26231),(86,211),(87,23570),(89,15095),(90,17407),(91,29187),(92,1779)]	122.605243
33	[(0,21180),(2,31895),(5,18970),(6,16042),(7,15912),(8,2940),(9,26667),(10,3052),(12,15805),(16,17809),(17,7657),(18,18187),(19,15536),(20,1600),(23,6824),(24,23669),(27,15554),(29,22970),(30,10361),(31,173),(33,13493),(38,26025),(39,21848),(40,7765),(41,15965),(42,28014),(43,14345),(44,12390),(46,28222),(47,26427),(48,11953),(49,6188),(50,19272),(53,10768),(54,25780),(57,13148),(60,26512),(62,26160),(64,27530),(67,18086),(68,2229),(70,24404),(72,18954),(73,14099),(75,21603),(76,18511),(78,22847),(82,29356),(83,22460),(87,27908),(88,4250),(89,2215)]	218.499302
34	[(0,6343),(3,22713),(5,25559),(6,2175),(7,25612),(9,15864),(13,16606),(14,16577),(15,21344),(17,11568),(21,18318),(22,8990),(24,27835),(25,9917),(28,16451),(34,25191),(35,27857),(36,10188),(37,859),(38,10613),(40,2011),(42,12694),(45,2670),(46,5407),(50,24467),(52,26924),(54,27647),(59,5754),(60,20858),(61,2805),(62,7237),(63,4982),(66,17816),(68,24034),(70,14070),(71,5439),(74,12120),(75,2700),(76,7972),(78,12319),(81,24575),(82,44),(87,19514),(89,17502),(90,32599),(91,13169),(92,19233)]	205.486803
