ruleset_index	matches	time_ms
0	[(1,14722),(2,30223),(3,3065),(4,17384),(5,25339),(7,15727),(10,19762),(11,6897),(15,3706),(18,17505),(19,36456),(20,33930),(26,4350),(28,25026),(29,10351),(31,35524),(34,780),(35,38405),(37,13951),(38,4087),(41,34439),(43,24937),(46,24287),(48,28378),(49,18233),(51,1953),(56,21153),(59,37908),(60,12047),(61,11491),(62,20238),(63,32466),(67,24313),(68,9899),(69,1858),(70,3343),(73,24653),(75,1994),(76,777),(77,22464),(78,23027),(79,15813),(80,4762),(81,32011),(83,9210),(84,31797),(86,31207),(88,33851),(89,3908),(91,2827),(92,22272)]	280.026148
1	[(0,8803),(1,14457),(2,24384),(4,30865),(5,9533),(6,14445),(9,16613),(11,36674),(12,18268),(13,4146),(14,10862),(16,13314),(17,4997),(19,32914),(20,20219),(21,7237),(22,7923),(26,33537),(27,11197),(28,16589),(32,6920),(37,33473),(38,17626),(39,16360),(40,31610),(41,27565),(42,28548),(45,38370),(46,21282),(48,27486),(50,16813),(51,24449),(53,2020),(57,8243),(58,15761),(59,21895),(60,24559),(61,199),(63,34905),(64,122),(68,25359),(69,2242),(70,27539),(71,5730),(72,286),(74,25096),(75,3216),(76,33369),(78,15323),(80,13156),(81,19381),(82,17956),(83,37513),(84,28821),(87,35919),(88,24822),(89,27147),(90,35521)]	260.161859
2	[(0,18657),(1,26030),(3,9279),(4,31318),(5,27386),(7,38042),(9,14319),(10,22922),(11,22182),(14,20218),(15,13588),(20,30446),(21,28879),(22,7188),(23,36429),(24,32709),(27,3408),(30,33478),(31,26431),(33,32083),(35,8687),(36,22998),(37,29577),(41,10883),(44,7065),(45,12337),(46,32493),(49,28417),(50,83),(54,27709),(55,12510),(59,10916),(64,15813),(65,4762),(66,32011),(68,27342),(70,25623),(71,3110),(72,2122),(74,19732),(75,22458),(77,22404),(80,5738),(84,104),(85,15835),(86,32164),(88,26481),(89,15206),(90,10220)]	256.481724
3	[(0,9798),(1,2972),(2,35552),(6,8558),(7,19297),(8,22450),(10,22671),(12,23117),(14,33393),(17,6080),(19,29293),(20,35848),(21,28906),(22,7884),(23,24728),(26,11590),(31,6104),(32,17585),(35,2435),(36,9047),(37,18134),(38,9696),(39,24207),(43,13156),(44,18044),(45,879),(46,23614),(47,30704),(48,17084),(50,18278),(51,3772),(52,19256),(53,14215),(55,3120),(56,4852),(58,36757),(60,27087),(61,11656),(64,38857),(66,10999),(67,12111),(68,31764),(69,24974),(71,5651),(72,35686),(73,36060),(74,6752),(77,28138),(79,35120),(80,16656),(81,32983),(82,26840),(86,202),(87,38888),(89,20416),(90,13974)]	262.385536
4	[(0,13990),(2,28337),(3,33078),(6,8323),(7,9936),(8,17779),(9,2463),(15,14506),(16,30296),(18,7155),(19,23154),(20,38679),(21,32682),(23,31527),(24,30763),(26,34363),(27,36200),(30,11288),(31,1296),(33,2629),(34,4512),(37,19571),(39,6230),(43,35376),(44,3543),(46,13215),(48,14420),(50,17437),(53,27229),(55,33201),(58,24906),(59,26065),(61,1064),(63,30888),(64,4690),(66,10169),(67,32679),(68,5720),(69,3624),(72,32096),(74,34663),(76,11146),(77,24186),(78,31300),(80,21211),(81,19587),(82,29780),(84,15451),(86,12439),(87,14177),(88,27868),(90,12790),(92,31688)]	286.542345
5	[(0,10369),(1,20626),(2,6309),(3,23906),(4,7965),(5,36441),(11,32228),(13,5385),(14,31730),(15,30034),(16,376),(18,31153),(19,3445),(20,10501),(21,3369),(22,16524),(23,9384),(24,18113),(25,38703),(26,30071),(27,14683),(28,29079),(29,33248),(31,11046),(32,24555),(35,19990),(37,2804),(38,5100),(39,28102),(40,34713),(41,14716),(44,388),(45,11574),(46,35156),(48,13037),(49,14872),(50,8559),(51,17780),(54,24091),(57,27376),(58,5534),(62,35036),(63,13479),(64,36035),(65,7719),(66,33060),(68,6834),(70,33891),(71,35520),(73,6280),(75,13809),(76,316),(78,22451),(80,7909),(87,6497),(90,28371),(92,18770)]	280.606110
6	[(3,38446),(4,17857),(5,8240),(6,8543),(9,26372),(10,22411),(12,25611),(13,19683),(14,28914),(15,22897),(16,22815),(18,16550),(19,18840),(22,33620),(24,7658),(26,6860),(27,23510),(28,23192),(29,2901),(32,18420),(33,26549),(34,24044),(35,16149),(36,18726),(39,22414),(42,10300),(45,33635),(46,35826),(47,12621),(48,21591),(49,17349),(52,38346),(55,16578),(56,2376),(57,30395),(61,12176),(62,22251),(63,17207),(64,38056),(65,17107),(69,36573),(70,16185),(72,25820),(73,30255),(75,10728),(78,14282),(79,35358),(84,6250),(85,35834),(86,16278),(87,16765),(88,7916),(90,12556),(91,12521)]	222.686634
7	[(0,19751),(1,29069),(2,23153),(6,13575),(9,37142),(10,1160),(12,18570),(13,15399),(15,24435),(16,11787),(17,4133),(18,21718),(24,27923),(25,18701),(27,11008),(29,23607),(32,21410),(33,10594),(35,5402),(36,15009),(37,6262),(39,37752),(41,12722),(42,27347),(44,28982),(45,32300),(46,12204),(49,6024),(50,15872),(51,6032),(54,12505),(56,7558),(57,19741),(60,1045),(61,18863),(63,1806),(65,22084),(67,6121),(68,17878),(71,29414),(73,26588),(74,33906),(77,20511),(78,18940),(79,2439),(80,6699),(83,20271),(84,30423),(85,1694),(87,7569),(89,28901),(90,6850),(91,3735),(92,14285)]	144.658118
8	[(1,33320),(2,10090),(3,7936),(4,13338),(5,21102),(6,33900),(7,2333),(10,12566),(11,2514),(12,7537),(13,2656),(14,1006),(15,34286),(16,22798),(17,36822),(18,72),(19,8692),(21,10723),(22,7731),(23,36371),(24,17347),(25,18775),(29,34726),(30,22676),(32,27093),(34,19039),(35,1988),(36,19776),(38,6661),(39,10353),(41,30505),(42,16761),(43,13907),(44,6135),(45,19163),(46,9027),(48,21439),(49,2941),(50,12838),(51,17023),(52,31264),(54,33393),(58,10864),(61,2847),(62,10499),(63,8170),(64,25643),(65,23052),(69,4446),(70,19534),(71,30427),(73,38277),(75,35328),(76,38770),(78,12601),(79,37830),(80,33057),(81,4339),(85,22068),(89,20856),(91,15815),(92,33128)]	141.991893
9	[(3,6005),(4,990),(5,15149),(6,21466),(7,32208),(8,30644),(10,15601),(11,11847),(12,14639),(13,4184),(14,28683),(15,15770),(16,30729),(17,233),(19,17284),(20,20180),(21,19021),(22,30197),(23,36476),(24,8926),(26,37270),(27,6445),(31,34118),(34,30318),(36,19943),(38,1761),(39,10837),(41,31023),(43,1400),(45,34449),(47,24416),(48,19147),(49,10994),(50,2337),(53,20313),(54,3577),(56,9643),(58,31932),(59,29879),(61,36530),(62,9800),(63,32405),(64,11803),(65,29756),(66,19730),(69,14012),(70,21073),(73,17482),(75,11161),(76,17928),(77,21245),(78,18798),(80,21636),(81,34427),(82,5031),(85,16057),(86,5365),(87,11402),(88,10176),(89,29066),(90,25470),(91,36717),(92,7379)]	166.608143
