ruleset_index	matches	time_ms
0	[(4,348),(7,14691),(12,4136),(14,13307),(15,16901),(16,23690),(17,16241),(19,8244),(22,10100),(23,22783),(28,10870),(32,3191),(39,8754),(42,9713),(58,17869),(63,19344),(65,13586),(66,17646),(67,951),(69,22984),(71,14616),(73,17982),(81,20777),(90,4597),(91,2600),(92,5020)]	64.807353
1	[(0,19736),(1,7646),(3,9242),(13,1373),(15,431),(20,23950),(22,11097),(31,22026),(35,869),(37,8290),(42,959),(43,11),(44,15175),(45,1499),(46,20868),(51,5409),(53,22957),(56,131),(58,17223),(59,24165),(60,20668),(71,8219),(73,22021),(76,11148),(80,17745),(81,137),(85,7829),(86,20281),(87,13669),(90,11457),(92,22062)]	65.196848
2	[(0,14758),(4,12162),(8,11589),(9,13805),(12,471),(15,20377),(16,22762),(17,8268),(18,9405),(19,227),(21,178),(24,3950),(28,8320),(30,181),(33,92),(39,9213),(40,22550),(43,15128),(44,1100),(45,15756),(48,13064),(49,5932),(50,9997),(52,3926),(53,18242),(57,18970),(61,1215),(66,20777),(71,5718),(74,7931),(75,18780),(78,24069),(82,58),(87,4766),(88,13516),(91,16272)]	68.259106
3	[(0,10606),(1,7609),(4,16640),(5,21306),(10,13644),(11,15468),(14,8866),(19,21087),(26,20686),(27,23204),(28,10139),(36,19178),(39,2116),(43,17745),(49,442),(51,10338),(55,1929),(58,12322),(67,7686),(69,18314),(70,23603),(75,22474),(76,2342),(77,6942),(83,17630),(84,23678),(85,15857),(86,20933),(87,5988),(89,11006)]	66.256584
4	[(1,6071),(5,20164),(9,15998),(11,8286),(13,22877),(14,9320),(19,23576),(21,2408),(25,761),(27,10419),(28,162),(31,4515),(35,2570),(36,22747),(37,2627),(39,6891),(41,4824),(43,23334),(47,394),(48,23560),(55,22287),(57,1829),(59,15151),(60,3865),(61,13444),(64,4187),(69,22606),(73,17392),(74,1260),(77,19177),(80,15126),(85,16906),(88,5516),(89,157),(91,23167),(92,21421)]	64.973193
5	[(0,926),(9,18400),(10,17653),(16,7203),(19,23135),(20,21101),(21,2158),(27,1223),(29,15867),(31,8135),(40,4213),(41,12972),(46,13968),(48,5206),(50,4260),(54,10847),(56,11011),(57,23456),(60,17950),(64,21982),(67,22883),(73,14150),(75,8888),(77,12485),(83,6912),(86,88),(87,9568),(90,7904),(91,14860),(92,13679)]	65.968175
6	[(2,10162),(3,81),(6,2177),(7,2787),(8,12552),(10,1237),(16,18725),(19,7992),(23,9841),(28,781),(39,5915),(40,5831),(47,12703),(49,13355),(54,17343),(58,2834),(63,1848),(68,10721),(72,18770),(73,1995),(74,12475),(75,11712),(77,15987),(78,18593),(85,8183),(86,22791),(88,8302),(90,17370),(92,11901)]	65.520476
7	[(3,5116),(4,22104),(6,2754),(14,11937),(15,3587),(16,1056),(21,2501),(22,19594),(23,10822),(25,20913),(28,16850),(29,18328),(31,16796),(32,22200),(33,10391),(35,12684),(37,14012),(38,9673),(42,3544),(43,21804),(45,23670),(51,14755),(56,21975),(59,379),(64,7204),(71,24000),(73,333),(76,7648),(77,21544),(78,976)]	65.357568
8	[(4,13116),(9,16863),(12,3482),(23,16281),(25,16799),(28,12596),(29,44),(32,2331),(34,18648),(37,14429),(41,14116),(53,7007),(54,8866),(60,9338),(61,16986),(62,17527),(67,12523),(72,11570),(82,15701),(86,14465),(90,20529)]	65.203764
9	[(3,9115),(5,22959),(8,7361),(12,5479),(21,21448),(23,8333),(26,268),(27,15532),(28,20311),(29,21716),(31,15039),(37,8086),(38,10880),(42,12783),(46,7887),(50,9014),(57,12581),(59,17770),(61,20464),(62,15610),(65,9458),(66,12825),(69,15808),(70,3962),(71,4950),(78,12738),(81,12432),(85,13630),(89,21878)]	82.279195
10	[(0,16329),(7,10821),(9,9547),(13,6236),(14,7310),(15,1967),(16,5888),(18,21548),(20,14125),(22,3858),(23,9963),(24,11134),(26,8456),(28,15275),(32,21155),(40,7685),(41,2417),(50,1437),(51,20565),(52,8670),(56,18711),(59,4661),(62,11173),(64,4116),(65,6945),(73,23012),(74,665),(75,3674),(76,20333),(83,7279),(85,14060),(87,20695),(88,19172),(91,1239)]	64.939069
11	[(0,3476),(4,17314),(5,18780),(11,19587),(13,15204),(15,15973),(17,4847),(27,17797),(28,4232),(31,10047),(33,4631),(35,1510),(45,14869),(48,18216),(49,21257),(52,8931),(53,8690),(54,8886),(56,17124),(57,19346),(58,13298),(62,412),(64,19985),(68,4619),(69,23266),(77,16830),(79,17223),(83,22691),(84,20730),(89,8676),(90,20120)]	71.378692
12	[(2,18488),(6,9367),(9,16222),(14,7237),(15,17199),(24,6838),(25,18687),(26,15681),(27,18582),(29,4223),(32,16729),(33,1563),(35,21245),(42,20547),(44,10346),(46,151),(52,3804),(53,21719),(54,8219),(56,22021),(57,624),(58,17696),(59,4713),(60,11109),(61,17824),(62,23937),(65,5724),(66,222),(69,12516),(71,10376),(72,10054),(75,15391),(77,23535),(79,4355),(82,13679),(86,4409),(88,1880),(92,9713)]	68.354054
13	[(1,8362),(4,20622),(13,10611),(16,7524),(19,23340),(20,4759),(22,20080),(25,15257),(27,17866),(28,18237),(30,12675),(36,2657),(37,2537),(39,2757),(41,13869),(42,2523),(43,6433),(44,4456),(45,18887),(51,23093),(52,8412),(54,20734),(59,7476),(60,12327),(61,10171),(62,15903),(63,11568),(70,5493),(71,4409),(73,10685),(75,1084),(86,2409),(91,6178)]	64.915847
14	[(4,3899),(6,22071),(8,12537),(9,49),(17,19743),(18,9682),(20,7152),(21,5902),(24,16975),(29,14816),(31,8223),(33,21011),(39,15467),(41,4943),(43,4299),(47,7442),(49,20599),(56,21547),(60,10306),(67,9665),(68,11344),(71,7296),(75,17904),(76,19835),(80,22831),(82,8071),(84,11960),(85,8404),(90,13736)]	64.602833
15	[(1,6496),(3,17740),(9,17513),(13,20333),(14,844),(19,11362),(21,22787),(23,21012),(25,14824),(27,1369),(29,3054),(30,2150),(32,13883),(33,21569),(34,20936),(36,21335),(37,1800),(39,7613),(41,12540),(43,23076),(44,21462),(50,22731),(51,13053),(52,14184),(53,1890),(55,14672),(56,16051),(59,14872),(60,19520),(65,7454),(66,6004),(72,9681),(73,11009),(74,9167),(81,4908),(85,20874),(90,19837),(91,20170)]	65.014489
16	[(4,146),(7,13642),(10,9112),(17,2706),(19,1750),(21,16152),(26,22512),(27,10721),(28,16842),(30,9478),(33,18253),(36,10979),(37,22772),(40,20108),(44,17782),(46,14382),(47,11232),(54,13480),(58,13188),(60,14644),(65,14147),(68,10760),(71,6874),(72,9015),(75,4373),(76,3822),(79,1698),(80,4880),(81,10208),(83,23932),(84,7180),(88,15327),(92,17440)]	65.150767
17	[(1,6897),(2,13675),(3,19356),(4,9268),(5,9785),(6,12444),(11,8247),(18,13431),(22,22418),(23,19360),(26,2895),(27,20942),(28,3606),(32,5059),(33,1935),(34,11870),(35,2853),(40,1615),(45,6594),(54,9170),(55,13063),(58,21813),(60,17894),(70,19195),(71,19359),(76,23298),(78,17159),(90,3710),(92,10908)]	66.525253
