ruleset_index	matches	time_ms
0	[(0,6045),(4,17869),(7,17618),(8,19603),(10,19341),(11,21570),(13,23594),(14,7198),(20,24138),(35,21601),(36,24423),(37,8443),(41,7049),(42,18831),(44,7759),(45,14229),(47,14568),(51,15525),(52,9991),(55,18756),(57,17095),(59,12673),(63,16591),(68,5258),(69,6129),(70,23068),(75,20594),(77,4962),(90,17848)]	71.205851
1	[(0,14636),(1,17363),(2,12646),(7,20993),(8,14913),(11,20847),(16,9212),(21,22146),(23,14248),(24,19002),(25,17862),(31,9815),(40,4969),(41,4402),(42,24063),(43,23468),(46,10032),(48,11590),(50,11206),(54,82),(56,16451),(60,13477),(62,17411),(70,10705),(73,802),(76,17368),(77,5636),(78,23080),(79,5806),(87,904),(89,22782),(90,17148),(91,13557),(92,6432)]	70.505592
2	[(3,19129),(4,16467),(6,7851),(7,13113),(9,20135),(13,16543),(16,19162),(18,13781),(21,22720),(22,12233),(25,7666),(26,12080),(27,8283),(29,24174),(37,8026),(38,6045),(40,10170),(44,11686),(46,23042),(53,10461),(61,24606),(62,11430),(69,15268),(70,8885),(73,7023),(78,16624),(79,24886),(83,19566),(88,6687),(90,14663),(92,9092)]	68.905977
3	[(1,3477),(4,18042),(5,1181),(7,13184),(8,408),(9,8686),(10,9003),(14,6108),(17,12100),(18,16562),(21,13264),(26,5930),(28,16481),(30,396),(32,698),(33,167),(36,8289),(39,16027),(41,980),(42,5806),(46,1158),(48,20911),(50,12353),(51,16163),(52,5123),(55,13600),(60,21774),(61,15667),(67,8649),(68,15078),(69,168),(70,19047),(72,14253),(75,5668),(79,3186),(83,14557),(86,16445),(88,8347),(90,23336)]	69.214094
4	[(2,14939),(8,22265),(18,9537),(21,21213),(25,18751),(27,21838),(31,24285),(35,6526),(37,6662),(38,4491),(43,3953),(44,10738),(46,21596),(47,8642),(48,4924),(49,7565),(51,8398),(58,2577),(59,10741),(65,13772),(66,17873),(68,1788),(69,13713),(73,14055),(75,22871),(76,19107),(81,16247),(82,12395),(84,4811),(86,3675),(87,6495),(90,11004)]	75.678768
5	[(1,2171),(4,1704),(6,14433),(11,13618),(19,4249),(20,10644),(24,2437),(30,17627),(32,7655),(33,7490),(40,9984),(49,8580),(50,9882),(51,1385),(52,12197),(55,21692),(66,21667),(67,10520),(68,16271),(69,5761),(70,1036),(75,14830),(76,22289),(79,22969),(80,20843),(81,9351),(82,18695),(84,16954),(87,8412),(88,24144)]	81.967630
6	[(1,19146),(3,4894),(6,4090),(8,15403),(14,5595),(15,4753),(17,6283),(18,8106),(20,1298),(24,12830),(26,12107),(27,24635),(28,22107),(30,23405),(33,24850),(36,24414),(39,12473),(43,7193),(44,3977),(47,13215),(48,3697),(49,8654),(52,17722),(58,6331),(61,20856),(62,4371),(64,16741),(67,23176),(72,22439),(79,1420),(80,17734),(82,13473),(85,22152),(86,5195)]	68.683084
7	[(0,2250),(1,12525),(3,10623),(4,6621),(6,14203),(9,6782),(13,6761),(15,1451),(17,2073),(18,7885),(22,3055),(31,8868),(32,2464),(34,17095),(35,11597),(37,16940),(39,18214),(41,23792),(45,2873),(48,13039),(49,23450),(50,2245),(55,12786),(58,8128),(60,17773),(63,20561),(68,1942),(69,21136),(73,23103),(74,17299),(77,7654),(79,15553),(84,1258),(85,7566),(89,20862),(91,9985),(92,13674)]	91.113295
8	[(0,6211),(4,12377),(6,2390),(7,7789),(9,5448),(10,5412),(11,13396),(12,12320),(15,12617),(18,18115),(19,12709),(21,9200),(22,22084),(26,12386),(30,4635),(31,17455),(33,548),(34,16680),(35,9833),(36,23397),(37,23984),(40,13224),(45,12035),(47,15210),(48,5585),(50,18619),(51,386),(52,7834),(54,6108),(58,15300),(59,20462),(62,11217),(67,2241),(68,13253),(71,23770),(73,6897),(74,20803),(82,17326),(88,11991),(89,22170),(90,23617),(91,22428),(92,19499)]	76.155222
9	[(1,227),(3,2259),(4,7355),(6,14249),(10,22086),(12,8143),(13,24639),(17,8827),(18,13333),(23,9466),(24,21883),(26,19599),(28,21359),(30,4957),(37,3825),(38,20356),(41,12302),(44,21837),(46,19464),(47,4859),(49,23218),(51,3643),(52,15978),(53,17663),(55,13734),(57,18082),(59,658),(60,19922),(63,12935),(64,11629),(76,4910),(84,11952),(86,8975),(87,23581),(88,13231)]	87.775160
