ruleset_index	matches	time_ms
0	[(38,406),(55,3429),(66,483),(80,2541),(88,1718),(90,3561)]	19.485878
1	[(6,3951),(8,2294),(34,4406),(46,1589),(69,4720),(70,3043),(89,3318)]	18.357419
2	[(10,4407),(27,1635),(44,2371),(65,2541),(74,2952),(75,3321),(82,2465),(91,1888)]	18.779604
3	[(14,166),(21,91),(30,1764),(40,1239),(41,3137),(64,3901),(74,4317),(78,4003),(80,3806)]	19.341906
4	[(24,1151),(38,824),(55,1097),(58,2127),(64,3126),(82,4031),(83,1632)]	18.400990
5	[(24,4347),(32,4542),(44,3556),(47,3445),(53,501),(82,3453)]	18.745648
6	[(14,1254),(29,4423),(47,2560),(67,4097),(76,490),(78,4618),(85,4634),(91,529)]	18.018651
7	[(1,3279),(2,2148),(13,2161),(17,1640),(27,1638),(41,1086),(48,922),(55,1320),(71,3997),(73,3258),(78,3993)]	17.988396
8	[(7,590),(22,2163),(43,116),(44,685),(54,166),(71,2056),(80,3917)]	17.994954
9	[(19,4412),(35,1555),(72,1856),(84,40),(89,2033)]	18.889502
10	[(11,3466),(32,1768),(72,2782),(90,3164)]	18.564298
11	[(5,3321),(10,4680),(12,2155),(23,3821),(54,3970),(58,281),(59,978),(77,96)]	18.032797
12	[(5,4702),(12,3177),(16,2737),(40,2076),(67,1634),(70,1279),(87,100)]	23.804935
13	[(0,2727),(12,2123),(36,285),(38,1787),(43,1952),(44,1386),(72,100)]	17.941872
14	[(4,72),(18,4330),(28,2625),(30,4408),(34,3267),(40,1800),(55,1858),(84,2849),(88,2912)]	18.199157
15	[(25,1310),(37,2478),(45,2163),(50,2895),(77,996),(79,3146)]	20.659620
16	[(1,1480),(3,450),(7,2290),(10,649),(38,3682),(63,212),(70,1367),(85,1821),(90,1524)]	18.195375
17	[(1,1329),(25,2622),(49,4095),(53,261),(67,3414),(87,3550)]	18.370226
18	[(12,2223),(17,941),(25,4426),(62,3198),(73,1784)]	18.363313
19	[(26,934),(54,4579),(62,4350),(68,2829),(83,2416),(91,811)]	17.969336
20	[(2,2612),(6,355),(38,2782),(44,334),(57,3448),(61,3092),(70,119),(72,4059),(83,794)]	17.915110
21	[(1,2966),(9,4135),(15,2722),(21,2695)]	19.810177
22	[(6,3433),(12,2294),(25,3736),(33,3312),(38,1640),(39,1467),(41,814),(64,1012)]	37.456998
23	[(9,860),(11,2567),(28,3438),(33,3606),(34,3750),(35,1106),(41,3842),(48,2713),(61,1547),(62,4052),(69,1072),(73,1843),(77,1499),(84,3461)]	18.571453
24	[(7,2109),(9,405),(13,2062),(15,753),(24,1393),(28,4642),(36,3277),(57,4197),(60,4274),(77,1590),(79,3282)]	18.146203
25	[(10,186),(32,4533),(37,2758),(58,3458),(60,3527),(78,1768),(83,2312),(85,2210),(87,3666),(90,1419)]	18.292363
26	[(20,3517),(21,2820),(37,2652),(40,2261),(75,2636),(85,2054)]	19.239634
