ruleset_index	matches	time_ms
0	[(1,8973),(3,20722),(4,8805),(5,30662),(6,5503),(7,16548),(9,4615),(12,12424),(14,11315),(15,17994),(17,29278),(20,20494),(21,15900),(22,34197),(23,29552),(24,13876),(25,3755),(26,19185),(29,23217),(30,27724),(31,19662),(35,19066),(36,23471),(37,10545),(38,15483),(39,7924),(43,2609),(45,18),(46,14092),(47,26503),(48,30589),(51,1921),(53,16763),(54,34477),(56,15257),(57,31084),(58,18671),(59,32021),(60,16656),(62,32871),(63,1342),(65,14268),(68,701),(69,3070),(70,9039),(74,19439),(77,14337),(80,28423),(81,31234),(83,33182),(84,5265),(87,25904),(88,1187),(89,8897),(91,14939),(92,21906)]	120.851840
1	[(0,21427),(1,34559),(6,24346),(7,6133),(8,33656),(9,36174),(10,268),(12,22222),(13,5360),(14,23384),(17,9680),(19,36304),(21,24348),(27,5914),(29,114),(30,25549),(31,3951),(33,34912),(34,10855),(35,30238),(36,17015),(41,31042),(42,30317),(43,7795),(44,29687),(48,14160),(49,26203),(54,20124),(56,14729),(57,12427),(58,14772),(59,945),(60,26481),(61,15297),(62,28824),(69,13702),(70,19207),(71,11805),(72,18445),(75,20486),(76,27556),(77,18353),(79,15606),(84,16300),(85,19300),(86,35695),(88,34347),(89,18844),(90,14877),(91,35453)]	113.783261
2	[(0,32578),(1,14324),(4,1746),(7,30065),(9,29249),(11,7918),(12,28329),(14,4392),(15,22445),(19,7285),(21,18684),(22,25376),(23,24440),(26,14714),(28,8306),(29,7084),(30,7730),(31,16476),(33,22392),(34,933),(35,27906),(37,16914),(39,32175),(40,10704),(44,24395),(45,26659),(46,31822),(48,36120),(49,34749),(50,18758),(52,17350),(59,6160),(60,3384),(61,10722),(62,15662),(65,28423),(66,31234),(67,265),(68,36180),(70,6966),(76,1966),(77,9350),(78,24923),(79,4713),(82,24365),(83,32050),(84,3479),(85,21066),(86,135),(87,29125),(88,11881),(89,131),(90,12297),(91,17691)]	135.023988
3	[(1,4115),(2,20280),(3,32156),(6,35514),(7,13969),(9,10061),(11,13081),(13,3967),(16,9557),(17,28975),(22,2066),(23,9788),(24,33933),(25,23234),(26,7168),(29,33247),(31,32030),(33,5478),(34,28688),(39,23580),(41,10133),(42,15606),(44,29865),(45,21996),(47,22700),(48,4528),(49,8288),(50,8658),(51,18255),(52,32379),(54,12942),(57,9285),(58,34269),(60,26173),(63,16969),(65,18564),(66,30632),(68,8267),(69,242),(72,9264),(73,11078),(74,10646),(76,403),(77,18345),(78,4444),(79,8584),(81,32397),(82,32258),(83,11786),(84,12783),(86,6233),(88,20718),(89,21070),(90,2464),(91,21909),(92,29623)]	114.559353
4	[(1,26813),(3,10796),(5,21170),(8,30484),(10,25566),(12,22403),(15,19940),(17,3051),(18,4787),(20,9687),(21,36103),(22,4603),(23,17270),(25,26902),(26,15608),(27,27087),(29,20899),(33,1990),(36,2509),(37,4591),(40,32279),(42,17241),(46,33159),(47,1567),(49,2073),(50,24414),(51,18423),(52,29601),(54,24207),(56,26946),(59,33276),(60,29537),(61,21301),(62,12871),(63,7292),(65,18417),(66,21782),(67,4862),(69,10848),(71,24493),(75,20357),(76,1550),(77,24130),(78,11088),(79,813),(80,19789),(82,23847),(83,6041),(84,378),(86,12575),(89,28491),(91,14752),(92,23127)]	126.375314
5	[(0,26141),(1,4513),(2,8636),(3,4372),(6,15897),(7,12211),(10,18952),(11,26830),(14,21261),(15,9835),(17,32645),(18,6932),(19,2959),(24,16780),(26,20536),(29,32558),(30,36011),(33,16663),(34,23029),(35,20064),(36,7132),(37,3845),(39,12183),(41,35412),(42,34425),(43,26318),(49,15421),(50,16717),(52,16004),(53,35840),(54,14937),(58,8406),(59,7687),(62,7316),(63,15627),(65,33481),(66,33487),(67,26271),(68,14983),(69,34513),(71,32941),(72,175),(76,17434),(77,5819),(78,29927),(79,9802),(80,2026),(81,10945),(83,25302),(84,5268),(85,2611),(86,16948),(91,8316),(92,9458)]	128.629002
6	[(1,8639),(4,11809),(5,9722),(6,28534),(13,28668),(16,33665),(17,17607),(19,14305),(20,30611),(22,26097),(23,15773),(24,35021),(27,11953),(31,3177),(33,31518),(35,11550),(37,12290),(38,9827),(39,15349),(41,3837),(43,34126),(44,10177),(45,28404),(46,25188),(47,23714),(49,3444),(50,17151),(53,23059),(56,5619),(57,35228),(58,18808),(59,5569),(61,9317),(62,6810),(66,22527),(67,20960),(71,34573),(72,23661),(75,33032),(77,4917),(78,17781),(79,28958),(82,17843),(86,2932),(88,19897),(90,7336),(92,34709)]	114.101045
7	[(2,11791),(3,15958),(4,20180),(6,10263),(7,14902),(11,4764),(12,2435),(13,22035),(14,18773),(15,4562),(17,11653),(18,32769),(19,82),(22,5935),(24,9494),(25,17048),(27,15893),(28,13339),(30,24676),(31,34577),(32,21770),(33,27514),(34,31084),(35,10135),(36,35018),(39,19182),(40,2941),(42,13941),(43,13706),(44,3055),(47,1222),(50,14306),(51,26457),(52,17101),(53,31407),(54,29915),(58,9035),(60,31598),(61,26545),(62,15205),(63,22611),(65,12800),(67,26179),(69,5233),(70,12923),(71,2657),(73,29583),(74,16658),(81,6274),(82,9914),(87,28432),(89,14107),(91,17148)]	102.692623
8	[(3,12069),(4,2648),(5,30482),(6,8343),(7,23644),(8,13155),(13,724),(16,13067),(17,3167),(18,1243),(22,22661),(23,6591),(25,5293),(26,22634),(28,36071),(29,26270),(35,10264),(36,18428),(39,7154),(40,11633),(41,31736),(43,22017),(44,13510),(45,7592),(46,19712),(48,11798),(49,13270),(50,4431),(51,8991),(53,24435),(55,16886),(57,13711),(58,27825),(60,26962),(64,33631),(66,33015),(68,28827),(69,33124),(70,15567),(74,28774),(75,9621),(76,29331),(77,31848),(79,35049),(81,9369),(82,9431),(83,26022),(84,1267),(85,34947),(87,6794),(88,16372),(91,11362),(92,31622)]	105.500332
9	[(3,271),(4,5559),(5,9492),(11,25844),(13,32297),(14,11222),(15,6744),(16,4908),(18,23010),(21,34158),(23,4869),(25,3420),(28,31663),(29,2364),(31,3014),(36,13568),(38,3209),(40,598),(41,702),(43,1729),(44,26163),(45,6388),(46,17744),(47,1282),(49,18855),(50,26550),(51,16061),(52,21784),(56,26149),(58,9268),(59,934),(61,22151),(62,14987),(64,3767),(66,22184),(67,19385),(68,12443),(69,23656),(71,35737),(72,3333),(73,16173),(75,16651),(76,21887),(77,12922),(78,11975),(79,12261),(80,25404),(81,12318),(82,32811),(83,33195),(85,34658),(86,99),(90,9860),(92,25423)]	142.187867
