ruleset_index	matches	time_ms
0	[(3,13620),(4,12782),(5,22328),(7,2251),(9,29868),(12,6676),(13,28456),(16,9690),(19,24985),(21,18801),(23,22829),(24,26230),(26,444),(28,19066),(29,6975),(30,6752),(33,19572),(37,29820),(42,14373),(43,10973),(44,11371),(47,16407),(50,27918),(53,12197),(54,28972),(55,12037),(57,6839),(62,5849),(64,15886),(65,5591),(66,25401),(68,27193),(69,9102),(75,24873),(76,408),(77,11377),(78,28317),(79,8519),(80,20231),(81,12089),(82,22970),(83,14259),(84,699),(85,13557),(87,18659),(89,19157),(90,4586)]	87.848543
1	[(0,22450),(2,7182),(5,28676),(6,6647),(7,16449),(11,5778),(12,12067),(14,22944),(17,480),(25,10956),(31,2160),(32,13733),(34,9473),(35,18285),(36,18574),(39,19692),(41,28531),(43,24481),(44,116),(46,26400),(49,441),(50,8665),(51,7342),(52,19839),(55,22509),(56,6381),(57,2279),(58,15725),(59,26462),(63,17510),(64,323),(66,22007),(71,25534),(72,23932),(73,17249),(74,1902),(78,10167),(81,22462),(82,14683),(85,21884),(88,12948),(90,12122),(91,11940),(92,13993)]	88.994689
2	[(1,15605),(3,3009),(9,19842),(10,22960),(12,8771),(16,18289),(17,20903),(19,12106),(21,14126),(22,20002),(23,6308),(24,20514),(25,11133),(30,3460),(31,16102),(32,13317),(34,16520),(36,11899),(40,12636),(42,6649),(48,8819),(49,26385),(50,7429),(53,21451),(54,7509),(55,5194),(56,12486),(59,28958),(63,21446),(64,8519),(65,20231),(66,12089),(68,25287),(71,9411),(76,1137),(77,15375),(78,18359),(83,18624),(85,17036),(87,13512),(88,5460),(89,16944),(92,26610)]	101.481213
3	[(0,27264),(1,7784),(5,5366),(9,27462),(12,7935),(13,13568),(14,12886),(15,14172),(24,6840),(28,28097),(29,16805),(31,19790),(33,14867),(35,1940),(36,20493),(40,13605),(45,8867),(46,14725),(50,26961),(51,15619),(54,7363),(58,24138),(59,18572),(60,14407),(61,6138),(69,29331),(73,28799),(74,5909),(81,8635),(82,523),(85,27603),(88,3457),(89,2848),(90,12903)]	89.145519
4	[(0,13173),(8,8864),(9,6404),(10,29021),(11,25025),(12,11130),(13,17282),(14,4309),(15,745),(19,20247),(20,29768),(27,27638),(30,27693),(31,13789),(32,19489),(34,6464),(37,16267),(39,21757),(40,11261),(41,4749),(45,10241),(49,16832),(54,23226),(55,18541),(56,21824),(57,10457),(58,21793),(61,18600),(63,27064),(66,14),(67,23845),(68,23595),(69,23556),(73,26606),(74,5274),(82,6124),(88,4345),(90,15746),(91,9963)]	87.441569
5	[(0,27819),(2,5758),(7,13730),(10,1966),(11,20178),(12,4661),(14,24836),(16,15776),(17,29436),(20,26518),(22,25369),(27,14381),(28,23447),(30,15967),(31,26427),(37,25622),(43,1933),(47,13948),(48,17361),(49,16546),(50,12213),(52,17058),(54,4107),(56,6736),(57,4157),(62,7616),(67,10185),(68,22516),(69,1198),(70,11820),(71,24683),(81,19317),(82,20592),(84,6166),(85,10888),(86,3788),(87,29508),(88,2127),(90,3218),(91,19560)]	88.835666
6	[(3,4371),(9,2763),(11,27263),(13,2248),(14,26971),(21,13223),(22,27906),(24,7905),(26,12050),(29,18207),(30,3042),(32,3617),(33,5873),(36,4609),(37,712),(38,12652),(40,10873),(46,9906),(48,13071),(50,25629),(54,12477),(59,1471),(60,15211),(68,21245),(72,7302),(73,18367),(76,10307),(78,14443),(79,8106),(81,17774),(83,18423),(87,12893),(92,17795)]	84.072410
7	[(3,28267),(4,25714),(6,27578),(7,14089),(11,7801),(12,17056),(14,21807),(17,1847),(18,29751),(19,7750),(22,5710),(24,4489),(26,12085),(28,24331),(29,29115),(30,8796),(34,6839),(36,6320),(41,11418),(42,16623),(44,14804),(48,23146),(52,11280),(54,24627),(55,3459),(56,15233),(57,13579),(59,18578),(60,21491),(61,25049),(67,23344),(69,10785),(70,1311),(74,19086),(77,11636),(78,27977),(80,10146),(81,3433),(82,6773),(85,18623),(86,18002),(88,24333),(89,11957),(91,11217)]	90.705282
8	[(0,3916),(2,18280),(4,5720),(5,27916),(7,18463),(8,19792),(9,14135),(10,24938),(13,20623),(15,21115),(17,21694),(21,26851),(25,2590),(29,20819),(33,19622),(38,17865),(39,28292),(40,4040),(42,27625),(43,8412),(47,28838),(48,21510),(49,3924),(51,24092),(53,23467),(54,12886),(55,26292),(57,21398),(58,24261),(60,18746),(67,26897),(68,28716),(69,29789),(70,9677),(73,11296),(75,1645),(76,9551),(77,7964),(78,27138),(81,7212),(82,11738),(83,10721),(86,13347),(89,2908),(91,21911),(92,23002)]	91.285153
9	[(2,7906),(5,2306),(10,29319),(12,15180),(17,2973),(20,11191),(21,24808),(22,20562),(23,5112),(25,11964),(28,16522),(29,6985),(30,6708),(32,1863),(34,29602),(35,10262),(39,20397),(41,95),(42,13488),(44,11733),(45,7367),(49,26189),(50,25426),(51,3646),(56,18442),(59,19650),(61,27348),(63,12942),(67,8254),(70,16405),(71,21645),(72,4145),(73,13312),(75,23925),(81,28279),(84,1236),(85,17084),(86,6779),(88,22158),(89,25466),(91,2130)]	88.649881
