ruleset_index	matches	time_ms
0	[(1,19988),(3,1304),(4,19888),(6,13255),(8,6973),(11,18502),(13,12953),(15,8644),(16,18293),(17,11831),(20,23547),(22,13423),(23,11220),(25,26036),(27,5527),(32,17709),(37,23111),(38,3805),(39,19474),(43,16078),(44,16276),(45,62),(46,813),(48,6091),(49,22854),(55,20504),(56,17179),(62,23194),(63,16728),(65,4879),(67,131),(68,3920),(69,31),(70,25626),(71,16741),(72,22367),(73,5721),(74,26046),(75,10500),(76,8728),(79,17567),(80,20788),(81,14334),(83,23411),(86,8233),(87,19258),(88,22814),(91,1461)]	76.040739
1	[(0,22806),(3,25852),(4,22630),(7,5498),(11,17621),(12,13137),(16,2504),(18,20698),(20,23299),(27,20933),(29,1308),(30,9928),(35,23918),(36,15325),(37,15979),(39,8033),(40,11555),(42,20304),(54,2873),(57,10821),(60,9406),(62,9465),(63,6820),(64,3838),(66,6143),(68,13143),(69,27187),(71,22332),(74,17540),(78,22126),(79,1577),(80,13825),(85,13521),(86,21167),(87,9176)]	77.959396
2	[(1,20331),(3,8014),(5,22577),(7,17452),(16,9007),(20,19131),(23,3536),(27,26755),(28,5896),(35,1405),(36,15636),(37,23622),(40,23974),(44,9895),(46,15827),(49,6218),(50,13650),(53,414),(56,14608),(60,11527),(64,17567),(65,20788),(66,14334),(67,23999),(69,12259),(71,10576),(73,16387),(74,18894),(81,11372),(84,22657),(85,3784),(86,13492),(87,5824),(88,3099),(89,22207),(90,17891),(91,4158),(92,16401)]	82.993260
3	[(2,361),(4,1879),(6,5285),(9,9145),(11,17073),(15,25297),(17,1748),(19,369),(21,20752),(27,3518),(32,1168),(33,7552),(34,25233),(38,233),(42,1577),(43,13825),(44,8175),(46,856),(48,19509),(64,2824),(65,353),(68,6914),(69,1782),(71,1102),(75,15852),(76,8531),(78,16444),(80,2901),(82,9531),(85,13205),(92,14224)]	77.433664
4	[(3,19774),(5,207),(9,7491),(17,10747),(18,6121),(20,7736),(25,25817),(26,10530),(28,18869),(32,23070),(34,6232),(39,26960),(42,27382),(45,3996),(46,20869),(47,19046),(53,23596),(56,474),(61,20601),(63,12128),(66,1307),(71,25819),(76,7081),(77,8250),(80,20568),(83,4758),(84,16137),(87,136),(90,1525),(92,15369)]	80.912402
5	[(11,15791),(14,6989),(17,13017),(20,14525),(21,8533),(24,18651),(26,13253),(32,4889),(33,2517),(43,10933),(44,7061),(45,6287),(52,25987),(57,22465),(62,7580),(64,27401),(66,25019),(67,23623),(71,24011),(72,18616),(73,9095),(74,20539),(75,1216),(76,5121),(77,17832),(78,7272),(82,14573),(83,26425),(84,8209),(85,19861),(87,13943),(88,775),(89,1694)]	81.174095
6	[(1,11260),(2,457),(7,7732),(8,12086),(9,21403),(10,12395),(17,27173),(19,13862),(20,7315),(21,21623),(25,5386),(27,11886),(28,27131),(29,4024),(31,14014),(32,7892),(33,4006),(35,7567),(37,13264),(40,22632),(42,251),(43,11170),(44,26420),(45,21959),(47,4908),(50,24944),(51,6757),(56,366),(57,20204),(61,13617),(62,199),(63,839),(64,6871),(69,6095),(72,20468),(73,1270),(75,7178),(85,548),(86,12966),(87,14104),(92,988)]	76.864992
7	[(1,7290),(6,14329),(8,19374),(9,8276),(11,9549),(14,21555),(16,22695),(18,17397),(19,4982),(22,7225),(25,10936),(29,25502),(31,11461),(38,21681),(41,21241),(42,6446),(46,25439),(47,20831),(50,5383),(51,13258),(55,8580),(56,27123),(57,11572),(59,23573),(60,14718),(62,20151),(63,955),(64,25723),(65,16255),(66,21523),(70,21598),(71,10812),(75,10460),(76,3202),(78,14652),(81,23197),(82,9143),(84,23060),(86,3752),(91,13033)]	84.088499
8	[(0,19475),(3,2412),(4,4372),(9,791),(13,6719),(18,3255),(20,18031),(21,9633),(22,26728),(33,23107),(36,3975),(49,6620),(50,12904),(51,27144),(52,20674),(57,5993),(58,14064),(60,3809),(65,8023),(66,19952),(70,22110),(76,7162),(78,21440),(79,8707),(80,17634),(82,8598),(90,731),(91,14776),(92,1957)]	77.619188
9	[(0,4843),(6,14012),(7,25746),(8,17875),(9,18417),(10,4116),(12,20398),(13,1091),(14,7170),(15,25905),(18,9402),(20,19067),(24,19305),(26,9019),(27,1948),(33,12491),(35,19283),(38,21085),(40,9478),(43,3196),(46,19824),(48,19740),(52,26361),(53,6862),(56,3513),(57,20420),(58,18798),(61,27035),(62,8222),(63,8869),(65,17291),(68,26800),(69,22183),(73,10771),(76,20345),(81,9037),(82,10121),(88,15590),(89,18711),(90,26666),(91,13739)]	80.499692
