ruleset_index	matches	time_ms
0	[(10,3067),(15,4835),(18,4650),(25,2481),(26,7589),(35,2691),(43,5655),(54,4812),(70,724),(78,7183),(85,1641)]	30.381749
1	[(11,4707),(20,2400),(23,2989),(24,774),(31,6986),(38,2200),(39,4914),(41,1160),(50,872),(57,7577),(62,7422),(70,1642),(80,4833),(87,6507),(92,8186)]	29.797868
2	[(6,4019),(14,5727),(15,4893),(26,5772),(29,4905),(33,2201),(40,3702),(45,5255),(58,1373),(69,6565),(83,3117),(84,2478),(87,4635),(89,3913)]	27.974557
3	[(0,6864),(4,3366),(15,5363),(20,5264),(26,6319),(29,8007),(36,4401),(43,4833),(57,5535),(63,5076),(68,6782),(69,7909),(72,5683),(73,3844),(79,1323)]	28.007725
4	[(21,5627),(29,1678),(41,1335),(43,2307),(51,760),(55,417),(58,6272),(59,3084),(70,3949),(72,4011),(73,3659),(81,4294)]	27.312431
5	[(11,2065),(18,5582),(21,2151),(29,2004),(35,7320),(36,2210),(39,1150),(47,7728),(59,2618),(61,7438),(68,3818),(69,6651),(73,736),(77,2336),(84,3574),(92,7275)]	28.080243
6	[(8,6587),(9,8455),(10,5802),(12,2584),(14,932),(15,5339),(18,560),(30,6733),(32,4550),(38,4608),(45,2765),(46,2007),(55,338),(56,7439),(63,1656)]	27.673425
7	[(25,3342),(45,8375),(56,6840),(59,2070),(63,1274),(66,3429),(73,5930),(79,7245),(83,2614),(86,1503),(90,6600)]	27.500645
8	[(2,6437),(8,2358),(10,7297),(14,5877),(16,6781),(21,1223),(26,848),(43,2696),(47,1913),(64,6658),(69,1113),(72,6457),(74,8124),(80,4078),(88,3908)]	28.446407
9	[(4,501),(13,4125),(19,3382),(24,865),(25,7313),(26,6426),(40,3595),(42,2168),(44,1647),(51,2285),(60,7279),(68,6700),(71,5974),(75,8133)]	28.019722
10	[(7,463),(12,1255),(16,7486),(24,1037),(36,5643),(66,5526),(67,5151),(70,8537),(72,7150),(73,649),(83,6176)]	36.758474
11	[(14,4251),(15,279),(18,1856),(20,7719),(27,3578),(35,2039),(58,8084),(60,2403),(67,7714),(80,6390),(83,7930)]	27.356455
12	[(0,1277),(12,1203),(27,2524),(28,3325),(32,5292),(34,1781),(58,2054),(66,2137),(82,7275),(84,3532),(85,6094),(89,730)]	27.506512
13	[(15,2477),(18,4952),(26,2110),(29,4583),(39,3865),(42,7081),(45,5605),(49,4923),(55,8372),(68,2134),(70,7727),(79,477),(80,1440),(87,4229),(91,3256)]	27.516467
14	[(4,3211),(7,7341),(8,3026),(12,7911),(19,5977),(21,3694),(30,3190),(51,2379),(54,4148),(74,4236),(78,8107),(79,2128),(80,7723),(90,693)]	28.680195
15	[(12,4480),(15,6724),(16,4874),(17,699),(20,4789),(21,4623),(22,4298),(40,5938),(66,4776),(73,999),(76,1341),(77,25),(88,3312),(89,1771),(90,4127),(92,7951)]	27.725386
16	[(10,6977),(15,2668),(21,8514),(25,1566),(26,4639),(28,4642),(37,3422),(38,2032),(43,3985),(62,4629),(92,7378)]	35.877227
17	[(1,7857),(39,5124),(64,4046),(65,8049),(76,3968),(82,2315)]	45.907020
18	[(1,5846),(10,757),(11,5780),(12,1919),(17,5975),(20,3013),(25,5419),(35,1777),(38,6839),(62,3073),(68,5602),(75,3743)]	31.686864
19	[(1,2831),(4,7582),(26,3156),(33,4955),(35,3468),(39,719),(42,7299),(47,8415),(57,2458),(81,814)]	27.925223
20	[(5,2148),(9,5611),(11,679),(30,4024),(36,1563),(38,7150),(39,649),(71,6205)]	44.789936
21	[(1,4309),(9,5782),(15,3774),(20,2626),(24,7904),(26,1104),(32,1276),(37,645),(39,5499),(41,3819),(53,3878),(59,4661),(90,993),(92,342)]	45.928476
22	[(1,874),(4,553),(10,6522),(18,2480),(29,4115),(31,5536),(39,3298),(40,3925),(45,3523),(46,1390),(49,6130),(54,4261),(55,1138),(57,6242),(68,1063),(72,1291),(74,7127),(82,2748),(91,7714),(92,1451)]	28.456334
23	[(8,7382),(15,4717),(18,658),(24,5879),(25,277),(27,2993),(31,7388),(36,615),(39,7196),(40,495),(46,1505),(48,6822),(56,1096),(64,5157),(80,5737),(84,4654),(92,700)]	27.650239
24	[(2,7920),(3,989),(24,4279),(38,3164),(45,3794),(52,6444),(62,4125),(69,5542),(72,4205),(77,4342),(83,7845)]	27.737317
25	[(12,1035),(18,1926),(21,3315),(29,3124),(40,3848),(42,7242),(45,2217),(46,2056),(57,3249),(74,3573),(76,5262)]	27.139027
26	[(2,8366),(3,4467),(8,908),(14,4068),(25,8177),(27,3775),(36,8198),(43,1211),(45,4359),(47,5892),(60,632),(86,4152),(92,101)]	27.626666
27	[(1,1389),(7,5589),(9,1376),(37,3397),(45,6245),(54,4733),(60,8076),(67,4354),(70,4940),(78,253),(87,6711),(88,6436)]	27.320751
28	[(1,5259),(9,2002),(14,4312),(35,2665),(68,7140),(73,8242),(85,6673),(91,2534)]	38.096566
29	[(6,3132),(25,3148),(29,8481),(32,2375),(33,3592),(42,4152),(45,91),(58,2258),(61,4569),(68,2487),(75,3004),(89,8379),(92,8231)]	27.530192
30	[(6,346),(15,6953),(23,3693),(34,5744),(66,6273),(69,319),(78,5177),(81,5284)]	27.210390
31	[(5,7135),(7,4299),(9,4159),(18,4200),(25,5123),(28,460),(51,7152),(55,1659),(61,1248),(71,1353),(74,4745),(80,938),(81,449),(82,7797),(91,7384)]	31.026450
