ruleset_index	matches	time_ms
0	[(0,8908),(3,387),(5,5715),(7,6348),(9,88),(13,1236),(28,18614),(30,18132),(32,1585),(34,14362),(40,13627),(41,5352),(43,19987),(45,8005),(47,19087),(49,8921),(50,1248),(60,16377),(61,19472),(64,2002),(74,7088),(78,18761),(79,7327),(80,15435),(84,6930),(88,16503),(90,2750),(91,9564)]	57.292113
1	[(1,7870),(3,153),(12,17227),(13,2004),(16,4351),(20,1740),(22,3504),(25,11151),(26,17056),(28,4201),(30,16221),(32,11184),(37,13352),(38,2485),(40,18923),(42,6282),(44,15604),(47,6960),(55,15335),(57,13208),(58,12896),(64,14375),(71,6715),(78,7575),(79,13672),(80,8780),(83,18566),(86,12099),(87,9272),(88,2718),(89,7178),(90,2023),(92,15292)]	58.412851
2	[(1,19670),(2,16677),(11,17150),(12,20253),(14,10449),(15,4196),(16,8031),(18,5740),(21,2676),(23,5710),(24,7979),(31,5754),(35,10247),(37,13947),(38,8908),(39,8822),(40,19515),(41,3261),(42,7531),(43,19319),(49,20327),(52,14089),(56,5255),(61,17338),(64,7327),(65,15435),(71,628),(74,18724),(75,15464),(76,9677),(81,18726),(83,17843),(87,9983),(91,16365)]	57.446096
3	[(0,6246),(5,1636),(11,12707),(21,6250),(24,14103),(29,8245),(33,10345),(42,13672),(43,8780),(44,7427),(49,2300),(50,11635),(54,1256),(63,3122),(66,6857),(68,9655),(70,12854),(73,14993),(77,7325),(78,19238),(89,16988),(91,5194),(92,5631)]	56.136628
4	[(3,15375),(5,6007),(7,18221),(15,13632),(19,10542),(25,6542),(30,4806),(34,8811),(37,19638),(42,16243),(48,11241),(53,14169),(60,2902),(61,13648),(62,4643),(69,5779),(70,18725),(73,14271),(79,19971),(82,20490),(90,15937)]	74.718112
5	[(0,5027),(2,2661),(9,10143),(14,12499),(15,16152),(16,481),(19,20102),(20,14790),(23,14001),(29,14227),(30,13273),(32,303),(33,12598),(34,12814),(35,5881),(36,1057),(38,11499),(39,15924),(43,7933),(46,15143),(50,2333),(52,14741),(57,6822),(58,16210),(63,15254),(68,3990),(70,18991),(72,8847),(74,5015),(75,9899),(78,11550),(85,566),(86,5369)]	56.182820
6	[(1,8003),(2,20359),(7,14614),(15,2704),(18,19957),(24,20270),(27,16753),(32,7698),(33,6230),(36,11117),(40,7784),(43,12388),(50,6450),(51,19092),(55,13930),(59,16323),(60,6550),(61,12893),(64,4644),(70,18300),(71,2063),(78,8261),(91,7041)]	55.593389
7	[(1,8161),(2,826),(3,6468),(5,8150),(7,9728),(9,1038),(10,12639),(14,15505),(15,7209),(19,8940),(21,630),(25,3772),(32,438),(35,3323),(37,19382),(42,2582),(62,11815),(63,8457),(64,10968),(65,16872),(69,1662),(71,16293),(79,5484),(80,20216),(81,6547),(86,573)]	55.778872
8	[(1,2277),(6,20518),(7,3138),(8,7818),(9,9643),(12,1369),(13,5000),(16,2085),(19,13697),(23,3747),(24,5738),(31,12214),(33,13711),(34,10943),(35,15848),(39,10452),(41,12859),(43,3792),(46,16778),(47,7097),(48,4681),(49,20157),(64,7533),(65,3112),(67,19097),(72,6251),(77,17597),(78,443),(84,12148),(89,4689),(90,16275)]	57.273970
9	[(3,157),(13,11577),(19,4020),(20,14825),(22,11605),(31,2474),(37,15852),(38,12104),(39,8074),(43,16982),(45,11573),(50,13282),(52,1084),(55,14223),(57,19762),(58,10546),(61,10125),(62,8543),(63,16328),(68,8230),(74,20066),(83,12447),(85,15367),(87,17298),(88,14509),(92,4784)]	56.372530
10	[(4,3604),(11,9815),(25,4759),(28,17458),(31,11684),(38,16721),(47,4318),(60,3830),(61,13490),(62,15055),(65,18562),(66,18015),(67,14707),(69,2175),(81,17243),(82,691),(83,12903),(87,9764),(89,10677),(90,4985)]	66.646565
11	[(5,15464),(8,18126),(20,13649),(21,14146),(22,20108),(25,6146),(26,7618),(28,15889),(31,526),(33,14333),(34,10860),(39,19453),(46,12743),(49,9088),(50,17792),(51,15483),(52,17088),(60,15649),(61,6744),(62,14683),(63,19247),(65,10217),(68,1896),(70,6332),(74,5747),(75,2027),(78,6695),(79,12896),(82,10419),(85,3724),(86,1144)]	57.057762
12	[(2,4035),(3,2067),(4,3706),(5,12596),(7,7918),(9,2559),(14,1908),(15,2524),(16,16825),(17,10901),(20,2143),(21,9013),(22,11019),(33,2385),(39,11265),(44,11426),(45,3714),(49,532),(51,6547),(54,6715),(58,19102),(65,11766),(68,20388),(70,20514),(71,12379)]	59.255844
