ruleset_index	matches	time_ms
0	[(4,7445),(5,14449),(7,13964),(11,10330),(17,19727),(18,7919),(19,18473),(24,10603),(27,16736),(28,8668),(30,7280),(35,4283),(39,5812),(40,15992),(46,14413),(47,15348),(48,5744),(55,17004),(60,8949),(63,3016),(68,8563),(76,9722),(81,3316),(83,2309),(84,17902),(87,3930),(92,18591)]	59.815559
1	[(3,10898),(5,3932),(7,3686),(12,17156),(13,2528),(16,5695),(19,954),(23,17712),(24,1308),(26,935),(29,11136),(33,6300),(37,6320),(39,20395),(42,1002),(46,4175),(48,6666),(57,4260),(58,7227),(63,1601),(68,18812),(76,16864),(79,7021),(80,1502),(87,12447),(89,10647)]	57.772135
2	[(2,6168),(3,9584),(6,19297),(9,13246),(11,10445),(20,7007),(28,299),(32,2708),(33,3724),(36,4508),(37,8820),(42,13026),(45,9499),(46,18261),(55,5260),(58,17824),(59,7065),(66,3316),(68,2136),(71,7874),(74,6991),(76,7470),(79,18686),(86,19131),(90,13217),(92,16318)]	57.733641
3	[(8,12125),(9,8282),(10,10684),(12,13969),(23,780),(26,14852),(28,20622),(37,16010),(42,7021),(43,1502),(44,13612),(47,12758),(48,19203),(49,1596),(53,3875),(57,18559),(62,13459),(65,682),(77,9078),(82,3953),(87,2999),(91,17558)]	76.244006
4	[(3,14928),(6,6045),(7,7893),(9,8231),(10,9406),(12,13001),(16,1790),(18,2228),(22,15508),(27,4184),(28,6202),(29,7262),(31,10522),(36,12982),(39,12358),(41,273),(42,12520),(43,6033),(44,15705),(46,19979),(48,2262),(51,15153),(57,442),(68,15733),(70,7397),(76,8758),(77,16172),(78,1489),(85,1923),(87,13630),(90,16503)]	57.579382
5	[(4,9441),(9,7515),(11,16729),(14,15918),(17,645),(18,5795),(19,10729),(20,2185),(34,18017),(35,4925),(37,11664),(43,17310),(52,20363),(59,6151),(61,11786),(62,11788),(64,9505),(65,19108),(67,4262),(77,10559),(78,8748),(82,1816),(86,6711),(87,14503),(88,16781)]	57.102579
6	[(0,1704),(4,10553),(6,13447),(10,16738),(15,19184),(18,16234),(20,4351),(22,17368),(24,17012),(25,15840),(28,18148),(29,15137),(31,11065),(47,5289),(62,9202),(63,13586),(64,17862),(68,18672),(76,9397),(78,6272),(81,712),(90,19470),(91,9137),(92,132)]	59.201869
7	[(1,4006),(3,8755),(6,6994),(13,13090),(14,15060),(16,149),(17,16743),(18,7188),(19,9837),(20,4870),(27,20547),(32,6058),(33,12216),(35,1141),(36,6725),(38,11194),(41,2461),(43,7628),(44,15534),(47,6197),(49,13170),(50,3525),(56,13854),(59,1425),(66,12309),(68,19446),(71,20497),(72,18829),(78,15087),(79,4057),(81,17439),(87,670),(88,4649),(89,3329),(91,17802)]	58.505450
8	[(3,1280),(6,11849),(7,12114),(8,11264),(16,3497),(17,6037),(19,17497),(22,14097),(27,3936),(33,5694),(34,4713),(35,16433),(42,8904),(45,18918),(48,20282),(52,15532),(58,4913),(60,128),(64,1747),(68,6063),(74,14489),(78,6720),(80,15567),(82,7647),(83,14916),(86,8375),(90,14016),(91,8597)]	57.146038
9	[(7,3235),(8,6817),(12,7923),(16,8404),(21,14822),(32,12936),(37,4410),(40,17638),(44,13470),(45,11170),(46,6929),(50,17627),(51,9959),(53,3035),(58,2862),(60,10002),(62,9130),(63,3853),(65,12444),(66,7413),(70,1203),(72,9522),(75,8629),(76,13688),(79,15638),(81,13452),(87,10721),(92,16829)]	56.848064
