ruleset_index	matches	time_ms
0	[(0,3707),(2,21817),(3,20697),(4,2111),(5,19028),(6,10642),(7,26206),(9,28566),(10,7766),(11,26860),(13,9452),(15,5572),(17,24936),(19,28766),(20,27024),(21,1287),(23,22743),(24,27865),(27,21566),(28,2867),(30,2011),(33,30291),(34,14381),(35,20058),(36,4067),(37,28524),(38,9013),(41,24767),(42,4032),(44,12965),(49,20876),(50,23541),(51,1662),(52,24996),(56,4725),(60,24473),(61,17618),(63,21851),(65,19735),(66,10980),(67,19996),(68,24786),(70,28862),(71,21914),(74,3478),(76,10168),(79,9873),(83,7259),(87,16849)]	87.987120
1	[(0,8710),(3,23072),(4,20138),(5,10206),(8,10900),(13,25805),(15,8544),(17,28639),(19,26484),(20,22999),(21,2364),(23,14444),(24,5366),(25,15785),(27,24617),(30,22525),(32,6611),(34,22393),(35,24630),(36,17228),(37,21715),(38,6293),(42,9054),(45,10222),(47,7992),(49,28063),(50,29958),(56,1127),(57,23784),(58,26776),(61,24772),(66,4345),(68,3760),(69,2219),(70,11147),(72,2320),(73,4683),(78,20567),(79,18000),(83,12308),(84,10360),(85,29624),(86,19817),(87,14829),(90,24791),(92,29629)]	89.939013
2	[(1,26034),(2,14205),(3,13188),(4,7060),(5,8267),(9,12988),(12,13876),(14,25817),(15,22867),(17,2020),(24,29711),(30,15251),(33,18403),(36,19279),(37,22201),(38,3707),(39,14700),(41,18290),(44,7455),(45,14174),(50,1988),(51,28117),(56,29009),(57,19096),(60,11941),(61,15381),(64,9873),(68,23756),(81,26149),(82,8636),(86,9942),(88,10271),(90,16994)]	85.512765
3	[(1,2803),(3,25414),(7,97),(8,25509),(11,4163),(13,28762),(16,27533),(19,16090),(21,14557),(23,3300),(27,2218),(28,16999),(32,21175),(34,8563),(35,22031),(36,13659),(41,23226),(42,18000),(47,14920),(50,7130),(51,11707),(52,7495),(53,22963),(55,29040),(57,18333),(65,5410),(66,10631),(68,20472),(71,29815),(73,23923),(75,13419),(76,19593),(80,9776),(82,14322),(83,7169),(85,10559),(87,6517),(88,28828),(89,16803),(91,22610)]	91.210774
4	[(0,5639),(1,18563),(2,23165),(3,13662),(4,21982),(5,27401),(7,17565),(9,24796),(10,3812),(11,7290),(15,17390),(16,9394),(17,26752),(23,248),(31,13488),(35,30348),(37,19339),(38,15726),(40,3784),(52,11792),(54,19498),(57,18629),(62,15390),(66,24422),(68,18721),(70,16696),(71,27494),(73,594),(74,10337),(75,28326),(76,4579),(79,28309),(82,27789),(85,22863),(87,13101),(89,14547),(91,9434),(92,3010)]	89.327506
5	[(1,29070),(2,20845),(3,28257),(4,21747),(5,6036),(6,23252),(8,5971),(10,6335),(11,1994),(13,648),(16,19587),(17,18496),(19,28384),(20,28600),(21,20513),(24,14654),(26,28290),(27,2248),(29,19882),(30,27433),(32,14781),(39,28844),(40,11594),(41,21314),(42,13021),(44,3441),(45,13174),(48,7039),(49,19150),(50,1696),(51,8704),(53,18758),(55,3428),(57,9566),(63,18912),(68,818),(71,7501),(73,30157),(74,15081),(78,1781),(79,28171),(80,5581),(82,14637),(83,22423),(87,15227),(89,9940),(91,3524),(92,19743)]	87.062356
6	[(0,7756),(3,2933),(6,260),(7,25648),(8,21843),(9,9125),(11,13286),(13,21477),(14,4718),(19,19519),(20,6370),(23,29151),(24,16040),(26,10026),(27,8699),(28,13018),(29,10315),(31,8857),(33,26543),(34,30161),(35,2005),(36,19873),(38,29615),(40,11020),(42,21363),(45,29675),(46,5046),(49,2804),(53,17034),(54,24235),(57,28899),(59,20230),(60,11329),(61,12367),(65,11778),(66,17910),(67,23767),(68,4847),(70,4802),(72,14711),(74,14329),(79,6299),(81,19157),(84,293),(89,26077),(90,14058),(91,24391),(92,27236)]	100.518284
7	[(0,5817),(3,28913),(4,34),(8,23833),(9,602),(10,9141),(13,16846),(14,19330),(16,5706),(20,17476),(23,15005),(24,28417),(25,4028),(26,8725),(27,7198),(31,16768),(33,14672),(37,203),(39,29764),(40,30335),(41,18550),(43,5563),(44,29160),(45,26527),(49,13206),(51,24683),(53,28051),(60,21301),(61,6474),(62,28305),(64,25513),(71,15378),(73,22882),(76,5210),(77,26238),(79,22169),(80,17023),(82,13272),(83,22618),(84,15581),(86,6745),(88,9066),(90,12130)]	90.340120
8	[(0,29185),(1,7357),(2,28013),(7,1212),(9,10314),(10,14280),(11,16925),(13,20017),(14,30290),(17,19679),(24,27871),(25,2024),(28,1620),(30,24270),(36,12822),(38,8208),(41,6792),(44,27069),(46,22682),(48,23574),(51,27619),(53,25269),(55,25006),(58,24364),(59,26844),(61,24203),(65,139),(66,23973),(67,16468),(68,18483),(71,6444),(72,491),(74,18589),(76,23),(77,26883),(78,12596),(79,4213),(80,1193),(81,29142),(83,1161),(85,19453),(87,5446),(88,21065),(91,7232),(92,7791)]	83.944336
9	[(1,3915),(8,20729),(15,1889),(19,1830),(20,17994),(21,16054),(22,15766),(23,24326),(26,14877),(27,21261),(32,1879),(34,214),(35,15067),(36,1083),(37,5681),(41,11406),(53,28501),(58,23396),(63,4024),(65,15218),(67,11867),(69,8054),(71,11366),(72,12551),(74,778),(76,14929),(81,10085),(83,16020),(85,7757),(89,4470),(90,27108),(91,12888),(92,3167)]	92.441968
