ruleset_index	matches	time_ms
0	[(2,1226),(3,7935),(8,20163),(10,11446),(11,4722),(12,12812),(15,13103),(29,1685),(31,17382),(32,12814),(35,863),(38,7902),(40,9793),(50,18496),(53,4248),(54,17067),(56,8988),(59,1686),(61,19562),(62,13456),(64,8226),(70,1524),(73,9156),(76,14067),(77,7847),(78,15380),(79,7544),(82,10512),(83,2496)]	60.090787
1	[(0,18107),(2,6587),(8,11495),(11,1912),(15,11507),(19,10573),(25,2800),(29,14309),(32,5577),(34,9129),(35,13334),(37,5705),(42,9432),(43,4636),(47,16042),(49,17656),(53,14157),(54,13731),(56,8499),(61,11193),(62,5349),(64,14463),(68,5629),(71,16971),(74,14758),(76,5076),(77,14382),(79,5685),(81,11360),(91,7951),(92,54)]	58.638524
2	[(0,2253),(3,4107),(7,3306),(9,5071),(16,20467),(27,15657),(32,5610),(33,6306),(36,10802),(40,438),(41,9986),(42,14218),(43,2832),(48,10929),(53,3439),(62,9482),(64,7544),(71,800),(72,665),(80,5900),(82,18395),(84,15805)]	59.731132
3	[(0,761),(1,5069),(4,2068),(10,1502),(11,3011),(14,2872),(16,17038),(18,19408),(21,6369),(22,1844),(24,11739),(27,7735),(30,5530),(37,18978),(41,592),(42,5685),(46,9854),(52,2656),(53,19425),(54,4754),(56,14908),(59,5828),(60,11433),(63,12110),(70,20449),(73,11302),(74,5917),(76,9146),(78,6351),(88,14964),(90,13006)]	77.705150
4	[(1,19452),(6,20747),(10,7911),(12,14561),(15,15503),(17,394),(18,1961),(19,2153),(21,10789),(24,14677),(29,6124),(33,8909),(39,5029),(43,3649),(54,1828),(55,11399),(57,17170),(59,4566),(64,16382),(67,14747),(69,6733),(70,14355),(74,14166),(76,10135),(79,3052),(80,11113),(85,18889),(86,20333),(87,18227),(88,8099),(89,17578),(90,5143),(91,4966)]	58.272947
5	[(0,2004),(1,14729),(4,13280),(9,14854),(10,1131),(11,5694),(12,4063),(13,7476),(19,15151),(20,1379),(21,20611),(22,19707),(24,9975),(25,586),(31,6689),(33,1774),(34,12017),(37,1709),(40,16627),(41,19848),(47,14210),(55,19671),(57,722),(59,16222),(65,20387),(67,4911),(71,1516),(74,1606),(75,8942),(78,5858),(80,10590),(81,13050),(92,12976)]	59.059205
6	[(1,13443),(6,1609),(11,3887),(13,14718),(16,7871),(22,4235),(23,3934),(24,17881),(27,6779),(29,12251),(34,18492),(35,8726),(44,11268),(48,17964),(52,8086),(55,8076),(56,13475),(57,16875),(61,8745),(62,11434),(67,3639),(68,17728),(71,1250),(82,5364),(84,13195)]	57.378372
7	[(4,2985),(6,2747),(8,13293),(13,19731),(14,18073),(16,20505),(18,10686),(19,13063),(25,5812),(26,3736),(27,4881),(29,8989),(33,14198),(35,14540),(36,17997),(37,11736),(39,1764),(42,8310),(50,9020),(58,14867),(60,9445),(62,2345),(66,9389),(68,17313),(69,18159),(81,11488),(84,18739),(86,3371),(90,12546),(92,18763)]	64.775653
8	[(4,12520),(8,17987),(9,16003),(11,9363),(13,6050),(19,18805),(22,12514),(24,13985),(26,9607),(37,15350),(38,5085),(40,12633),(41,5148),(42,20767),(43,102),(47,13065),(48,5757),(51,11372),(52,8374),(54,2872),(55,13800),(57,17595),(58,14105),(60,17719),(61,11808),(64,13338),(66,11438),(70,7495),(72,9179),(73,19037),(76,18497),(77,6244),(83,3273),(86,15793),(88,8972),(90,1684),(92,15201)]	59.446638
9	[(8,7521),(14,6398),(23,4930),(24,12050),(25,10682),(28,11185),(30,8041),(36,19470),(40,18537),(43,19196),(49,17992),(52,14916),(53,6271),(54,7701),(55,19739),(56,6727),(60,16179),(61,5356),(65,19477),(69,7124),(71,16881),(74,3086),(75,823),(81,4553),(85,7110),(91,6463)]	58.111034
10	[(1,3582),(2,19864),(5,3591),(8,10088),(14,5262),(18,9983),(19,1084),(24,12674),(25,11664),(28,6760),(29,9291),(36,10320),(40,8569),(41,2705),(47,18011),(55,2348),(60,18719),(66,16185),(67,16691),(69,1097),(70,1235),(72,7186),(74,14193),(78,12681),(85,20697),(88,6890),(90,3800)]	58.597261
11	[(0,19920),(3,13728),(4,19722),(10,5112),(12,6679),(13,6514),(15,19421),(21,3576),(23,12364),(25,13002),(29,15564),(32,12752),(34,3190),(36,9396),(40,4517),(41,10644),(46,467),(47,16286),(49,3807),(50,775),(51,5455),(55,2507),(57,5282),(58,2398),(59,13470),(61,20266),(62,5542),(64,369),(70,20576),(72,12070),(73,5474),(75,11389),(78,15849),(80,2308),(81,18101)]	60.225577
12	[(2,477),(7,20398),(10,379),(12,18012),(20,8360),(21,6348),(26,15315),(30,611),(31,11575),(33,6985),(34,6756),(35,1714),(36,12715),(37,18739),(40,16992),(44,10441),(48,15066),(50,12607),(51,11488),(53,19987),(54,16971),(60,10043),(64,5387),(65,2433),(67,179),(68,15069),(70,2132),(71,9359),(80,6398),(82,12976),(85,6138),(90,18723)]	61.276650
13	[(1,13230),(4,9241),(5,13326),(8,14046),(10,20218),(18,14510),(19,2810),(23,8841),(24,17388),(25,19393),(32,7090),(35,3171),(38,20483),(40,10182),(48,19796),(55,5161),(56,4980),(60,14169),(62,4608),(63,14009),(64,9681),(73,10773),(74,8660),(75,9967),(76,3727),(79,13832),(81,18956),(82,19105),(84,16169),(92,7036)]	58.027288
14	[(5,8033),(7,4921),(14,1318),(15,6763),(16,11176),(20,9090),(30,3346),(32,11834),(36,4762),(38,4410),(40,11738),(41,16729),(43,14206),(50,1337),(55,6047),(61,17877),(62,18693),(64,5843),(68,17440),(71,4715),(73,19931),(74,15944),(86,16468),(88,13590),(89,6116),(92,1018)]	56.958287
15	[(1,2796),(2,395),(3,19569),(7,1082),(15,18066),(16,7250),(18,10243),(22,11935),(23,8447),(29,9111),(33,7960),(34,10855),(35,6087),(36,13325),(37,16846),(38,1619),(45,12514),(49,16087),(52,16894),(56,5438),(57,2317),(62,20530),(65,3237),(66,20111),(68,20374),(71,9295),(74,16092),(75,18616),(76,9409),(78,5011),(82,19239),(83,7344),(86,11222),(88,1010),(89,938),(91,18167)]	60.252528
16	[(0,13709),(2,13379),(4,16540),(6,14138),(7,11845),(9,13867),(11,10589),(12,5965),(14,9507),(16,4809),(22,13333),(26,9047),(27,17728),(31,3530),(34,9304),(37,6583),(39,18453),(43,9211),(44,2432),(49,17034),(57,3427),(60,6816),(68,4664),(71,1245),(72,12999),(75,14096),(76,18546),(77,2531),(79,8324),(81,5745),(82,10903),(84,14909),(86,17082),(88,15827),(91,6531),(92,14810)]	57.137154
17	[(4,16344),(8,11155),(12,20766),(15,5704),(16,10179),(18,3890),(19,8182),(21,18193),(22,20155),(24,20805),(28,12488),(29,14194),(32,11542),(35,7707),(37,12625),(41,4307),(42,4462),(51,7802),(53,18756),(54,19221),(57,13509),(63,17970),(67,9869),(68,11791),(69,8767),(70,8425),(74,3046),(83,14312),(86,12780)]	57.268325
18	[(4,2304),(5,11973),(9,13679),(11,12355),(22,4870),(26,18731),(30,14262),(35,3225),(36,17529),(37,1251),(40,9060),(45,19873),(49,12478),(53,19151),(55,6877),(56,15035),(62,14173),(64,18814),(70,19063),(79,17972),(85,12746),(91,1768)]	58.009739
19	[(3,19957),(7,6270),(14,3050),(15,2650),(16,1179),(27,16654),(28,3026),(29,10331),(37,16083),(38,12391),(39,11139),(41,19401),(49,6308),(55,3415),(57,3841),(58,7277),(67,2054),(69,244),(70,5048),(74,6758),(77,3229),(80,18579),(85,962),(90,13587)]	57.062397
20	[(0,16279),(4,7656),(7,17659),(9,165),(10,1301),(11,6663),(15,682),(17,4796),(18,20151),(24,17472),(25,2061),(26,2584),(27,11548),(28,11414),(35,12403),(36,7998),(38,7186),(43,2928),(55,5343),(57,12446),(58,16775),(61,17547),(62,13392),(81,5016),(83,14651),(85,16841),(86,1456),(89,8077),(90,13500),(91,8144)]	75.810416
21	[(1,11339),(2,11336),(5,14079),(6,15072),(8,10517),(11,15024),(13,7425),(18,13781),(20,9122),(24,1512),(26,6674),(27,20722),(28,5948),(29,13582),(30,18398),(31,9845),(33,15865),(34,13772),(35,749),(36,19780),(40,6806),(41,5424),(43,4272),(46,16624),(51,854),(53,5003),(58,10432),(59,10438),(61,9438),(62,10503),(63,13864),(64,7706),(67,8938),(71,18390),(74,10190),(83,13410),(86,20521),(88,11158)]	60.629628
22	[(2,11764),(4,16191),(5,1722),(8,618),(11,16694),(12,11495),(14,6360),(19,17530),(24,5299),(25,11072),(27,7231),(29,10596),(32,15724),(35,7397),(37,20505),(43,6605),(44,10203),(48,13132),(49,4737),(50,12466),(52,15512),(62,3116),(63,2117),(65,5318),(67,1675),(68,10832),(76,15262),(78,16647),(79,8711),(87,11905),(90,16879),(92,19102)]	58.097954
23	[(1,6888),(6,7557),(7,7242),(13,16345),(16,18616),(17,16885),(20,13300),(22,3772),(31,20253),(34,13352),(36,18669),(39,17808),(42,1705),(44,1086),(45,13541),(46,13706),(48,8224),(51,8160),(52,16750),(53,7913),(54,19243),(56,6485),(59,7007),(60,9252),(61,17786),(63,14986),(64,17070),(65,12556),(68,9895),(71,2340),(73,13064),(74,15699),(75,5122),(76,16623),(81,19467),(85,6818),(88,14978),(91,5228),(92,13044)]	64.883816
