ruleset_index	matches	time_ms
0	[(2,24972),(5,25800),(9,9186),(14,15827),(15,26851),(23,6336),(26,17358),(29,22773),(31,1205),(34,21292),(36,14930),(38,14695),(44,10528),(46,14451),(49,21567),(53,16570),(54,5558),(55,14851),(57,15483),(58,13334),(59,3734),(60,23348),(62,2560),(65,2786),(66,3338),(69,1147),(71,20150),(73,4215),(76,4864),(79,25995),(83,1030),(91,17899),(92,2113)]	78.552228
1	[(0,12747),(1,13046),(5,9214),(9,16363),(13,23594),(14,16068),(24,10538),(26,2917),(30,7346),(31,12371),(35,11348),(36,9275),(37,25681),(39,2300),(40,12293),(42,5521),(46,5025),(47,5722),(51,4782),(53,7223),(55,25178),(56,2135),(57,12485),(58,2904),(60,14860),(61,4774),(62,8314),(65,1338),(69,25185),(73,8283),(75,22705),(76,15385),(80,19530),(82,15166),(86,13549),(88,14688),(89,1384),(90,4515)]	73.137243
2	[(0,9505),(1,5074),(3,4183),(4,25251),(6,4974),(8,10240),(9,9318),(13,8762),(14,8511),(16,5713),(22,22149),(23,5887),(24,26035),(25,24355),(27,3393),(29,16924),(30,26323),(31,5226),(33,3152),(34,25934),(35,6599),(36,11129),(37,16281),(39,2638),(40,16136),(41,17297),(42,6632),(44,5917),(47,8216),(49,25281),(52,24996),(58,544),(63,12482),(64,25995),(75,7785),(80,9281),(81,3715),(89,16877),(90,5241),(91,1006)]	71.607299
3	[(1,1220),(3,1059),(4,1722),(5,14888),(9,19368),(14,117),(15,26791),(18,22154),(20,7022),(22,21774),(27,6982),(28,22376),(29,4045),(32,17317),(41,23383),(43,19530),(44,26759),(45,17551),(50,12203),(53,21806),(54,1689),(61,9221),(63,2601),(64,17849),(69,5666),(70,25783),(74,3904),(75,17098),(76,7699),(77,26501),(78,18915),(82,14063),(83,20814),(86,9456),(88,18701),(90,8052),(91,16895)]	72.042925
4	[(3,15589),(5,3499),(8,9929),(9,24472),(19,20071),(23,6284),(25,8300),(33,13745),(34,8535),(36,22396),(42,23722),(43,14265),(44,20233),(47,21402),(48,1150),(50,22345),(54,4729),(58,993),(68,12599),(69,16649),(71,23192),(72,9193),(78,24120),(83,22119),(84,11379),(87,810),(88,17500),(90,26604),(91,17348),(92,20047)]	71.618806
5	[(0,17185),(1,8803),(3,20114),(5,26840),(6,18404),(19,18277),(25,6750),(27,10314),(28,24299),(29,3862),(31,24612),(36,22032),(37,549),(39,3070),(42,17117),(44,18028),(45,12318),(48,11441),(49,827),(52,19942),(54,1381),(56,18585),(61,5350),(63,11801),(64,1279),(65,13672),(67,25469),(70,19245),(71,4111),(72,10604),(73,23239),(74,24680),(76,3857),(79,21040),(80,16541),(81,12015),(91,8005),(92,9126)]	89.671956
6	[(0,11083),(1,22852),(3,25463),(4,24049),(6,12393),(7,10754),(9,12529),(12,906),(14,12489),(15,522),(16,8579),(18,17967),(19,2456),(22,19766),(23,7031),(29,7066),(30,15875),(31,14124),(32,12054),(39,2680),(41,24948),(42,14419),(46,13150),(47,18449),(52,16037),(54,21503),(55,23811),(60,24013),(61,10330),(68,13429),(70,5598),(71,17722),(72,14268),(73,17591),(74,10903),(80,7562),(82,12106),(83,7998),(84,7970),(86,5700),(87,5710),(88,2295)]	74.005376
7	[(1,6042),(4,7527),(5,20231),(6,14970),(8,23634),(9,20237),(12,22368),(16,3890),(20,12569),(22,10898),(26,20601),(27,308),(28,21615),(29,7051),(30,5789),(34,15483),(36,25190),(37,1539),(38,15700),(39,24089),(43,18161),(44,4319),(45,7103),(46,11163),(52,3105),(53,3669),(57,25583),(58,17101),(59,23946),(61,5123),(65,10753),(66,4949),(68,2975),(70,21132),(72,25453),(74,10426),(75,984),(77,7957),(78,26605),(79,15348),(81,10063),(90,2183),(92,25845)]	71.820320
8	[(2,4764),(3,5844),(6,17352),(7,1223),(15,9479),(16,8955),(21,8409),(22,2924),(24,20267),(26,168),(31,12742),(34,712),(36,16678),(40,26936),(41,2853),(42,13137),(46,6161),(48,16729),(50,10745),(51,15687),(54,117),(56,13501),(59,20618),(60,8489),(61,4932),(62,16161),(63,3961),(64,19764),(65,13483),(66,6144),(67,18573),(72,24136),(73,20435),(75,11526),(80,7155),(81,24666),(83,1623),(89,7939)]	71.348991
9	[(9,5290),(11,18706),(13,12939),(15,24786),(16,11899),(17,3203),(18,7626),(20,9531),(21,856),(25,11042),(28,20259),(33,7687),(34,21672),(37,12593),(49,12523),(51,20753),(53,14481),(54,9890),(56,16709),(61,24805),(63,25849),(64,10580),(66,21923),(70,19366),(74,10052),(76,23747),(81,8263),(83,18012),(84,7316)]	71.673398
10	[(0,23766),(2,22401),(3,866),(5,5577),(7,23227),(8,26714),(10,14811),(17,1078),(19,3128),(21,18348),(24,8865),(27,971),(28,7455),(30,15837),(31,16849),(32,8304),(35,8509),(41,8382),(43,22019),(45,21161),(47,15643),(50,16195),(53,20383),(54,17870),(58,23525),(61,22126),(70,25394),(73,11528),(76,21740),(77,20647),(78,18529),(79,24679),(83,263),(84,4781),(86,6651),(89,3436),(91,22555),(92,3228)]	70.804206
11	[(5,7785),(7,3425),(8,24130),(9,1821),(11,8457),(13,5559),(14,20152),(16,3097),(17,12748),(18,3815),(19,487),(20,4581),(23,14646),(26,22997),(28,23286),(36,3158),(37,1383),(38,18940),(42,11827),(48,14381),(51,21099),(52,26138),(53,12850),(55,6064),(70,10606),(71,22479),(73,5108),(75,9916),(77,25451),(79,2904),(80,19613),(81,409),(82,7854),(84,7190),(86,9442),(91,26678)]	72.059724
12	[(1,6223),(6,5913),(8,22946),(10,9576),(11,6084),(12,20223),(13,12827),(14,18292),(22,20701),(23,12192),(24,22243),(27,19534),(28,2830),(29,15179),(30,5597),(32,8656),(34,1801),(40,4148),(42,1558),(43,20363),(47,4971),(48,13769),(51,10063),(52,14389),(56,8283),(57,24353),(60,18594),(61,26517),(63,16912),(66,2007),(67,1249),(70,21597),(71,11530),(73,5348),(77,7533),(78,22351),(81,24786),(82,9126),(83,19379),(85,8272),(86,7799),(89,15502),(91,16289)]	75.484998
13	[(0,15389),(1,22543),(3,8931),(6,14500),(10,14412),(13,19898),(19,6603),(20,6329),(22,1729),(27,17882),(28,10689),(30,3146),(31,14362),(33,22973),(36,3749),(37,19185),(38,16070),(44,6213),(46,22709),(50,2394),(53,14161),(54,22255),(55,20034),(60,25244),(64,12131),(66,19183),(71,7799),(78,5832),(80,2083),(83,7578),(87,2499),(88,15005),(92,24539)]	78.239086
14	[(1,22874),(2,16961),(4,24752),(5,10390),(6,5918),(7,19865),(12,11063),(13,15401),(17,19463),(18,25500),(22,15250),(23,6258),(25,24036),(29,4679),(32,1769),(34,12543),(35,26880),(36,8767),(37,17651),(40,18862),(41,6407),(43,18743),(46,3731),(50,17466),(51,23259),(55,11580),(56,7619),(58,23),(60,1348),(65,14490),(67,4197),(68,16838),(73,11178),(77,26388),(79,15053),(80,11229),(83,15624),(84,603),(87,4800),(88,2662),(89,13623),(92,16683)]	76.051917
15	[(2,10615),(3,19975),(4,1507),(6,6121),(7,25254),(8,23914),(9,26609),(10,3194),(12,14407),(13,21740),(14,13318),(16,9435),(19,4134),(20,13114),(22,25596),(24,5623),(25,16744),(26,4169),(27,15815),(28,23380),(29,20433),(31,19669),(33,14390),(35,25056),(38,22012),(41,7122),(42,7950),(43,22425),(44,21657),(45,2924),(47,8085),(51,25975),(57,19077),(59,26111),(62,26690),(63,2147),(64,25846),(67,23386),(72,725),(79,19196),(83,10514),(88,20665),(90,4126),(91,7407)]	77.768600
16	[(0,2737),(1,11659),(5,25151),(6,2690),(8,25385),(10,7696),(16,6478),(18,548),(19,13089),(20,10003),(21,832),(27,13429),(29,24851),(31,16996),(34,17339),(35,12005),(37,24945),(38,7199),(42,24827),(43,25124),(44,2965),(45,9655),(51,9573),(53,22832),(54,19466),(58,10560),(62,12902),(64,6998),(66,24504),(68,16668),(80,395),(85,21780),(87,23036),(92,17258)]	73.268128
17	[(0,25189),(3,24052),(4,6657),(10,13793),(18,3327),(19,16367),(20,22625),(22,11615),(23,19849),(31,202),(34,26165),(37,13287),(41,15614),(42,16310),(44,21869),(46,26769),(49,26436),(50,18783),(54,21592),(56,4926),(62,16360),(63,4501),(64,15352),(65,3612),(67,2957),(68,15459),(71,18932),(72,14443),(74,6579),(79,22511),(80,76),(84,21142),(86,24157),(88,21432),(89,22938),(91,4727)]	72.355080
18	[(1,20039),(2,9991),(3,406),(4,26043),(10,26394),(15,21012),(17,15202),(19,14089),(20,21695),(23,9698),(24,18208),(25,23975),(28,22421),(29,5786),(30,20496),(31,3519),(34,25664),(37,16140),(39,1237),(42,5323),(43,502),(48,4745),(57,13442),(58,25339),(59,21016),(60,4956),(61,11352),(63,8401),(65,15063),(66,3388),(67,1071),(69,22281),(75,15305),(76,22718),(79,19761),(81,15476),(84,25704),(85,6675),(86,2109),(87,1806),(88,3981)]	72.117311
19	[(0,9959),(4,10955),(8,18508),(9,114),(10,23633),(12,4021),(16,20376),(17,15866),(20,23961),(22,14954),(23,2315),(24,7883),(26,24563),(27,13206),(29,19870),(30,16290),(34,24412),(37,19478),(38,22959),(41,17931),(43,24432),(45,21429),(50,4698),(52,23281),(59,12112),(61,22950),(62,2497),(63,10932),(65,22328),(69,25628),(72,15412),(74,10454),(76,8997),(78,25360),(81,11283),(84,19563),(86,1545),(92,4435)]	91.516976
20	[(0,14957),(1,21441),(5,20609),(7,3756),(8,17025),(13,24259),(15,15447),(24,10803),(25,18636),(26,9654),(31,4578),(32,25582),(33,16481),(34,1356),(35,24747),(39,11528),(40,5537),(41,14799),(44,4538),(47,7372),(48,4906),(49,637),(50,23893),(52,20220),(53,20805),(54,1714),(57,14383),(58,2463),(60,23788),(64,16141),(66,12758),(67,22058),(73,515),(74,15723),(75,15927),(77,23553),(79,2653),(82,9044),(83,20628),(91,13025)]	72.768500
21	[(1,11145),(2,1912),(4,6734),(8,23477),(9,10702),(11,10973),(13,22507),(15,9336),(19,4309),(22,5596),(24,7482),(26,7156),(27,26070),(28,17907),(29,2379),(30,16537),(32,12136),(33,15636),(37,16500),(40,9836),(42,9343),(43,15374),(44,15096),(45,1315),(46,6075),(50,5467),(52,18820),(53,17001),(54,11574),(58,7715),(59,21324),(60,14796),(68,19521),(71,17479),(72,11044),(74,2126),(75,20970),(76,22747),(78,15650),(79,2050),(82,25050),(84,6132),(85,5145),(86,5426),(87,20395),(88,25816),(91,13591)]	72.316072
