ruleset_index	matches	time_ms
0	[(0,29701),(2,27303),(6,455),(8,19817),(12,25892),(13,24848),(15,21588),(17,37381),(19,24508),(20,13074),(22,37636),(24,13978),(27,18776),(31,1782),(32,11679),(36,17663),(37,1730),(38,17152),(39,7020),(40,4146),(42,34640),(43,37795),(44,11722),(47,35212),(49,16715),(50,6662),(51,31481),(52,39146),(53,15155),(54,5001),(55,16061),(57,8039),(58,27914),(59,25455),(61,35709),(62,26865),(64,26673),(66,15443),(67,27790),(69,33434),(70,27354),(72,988),(74,27003),(75,14247),(76,24768),(77,23977),(78,9492),(79,19617),(82,14711),(83,1091),(87,33134),(90,27401),(92,19521)]	118.919858
1	[(2,30950),(5,20199),(6,8150),(7,27479),(8,31867),(9,3188),(11,14197),(12,2388),(13,34481),(15,31405),(17,24319),(18,17328),(19,9025),(20,13359),(23,12699),(26,34814),(29,25212),(31,16601),(35,25016),(39,14907),(41,7013),(46,39011),(47,13503),(48,37952),(49,28965),(51,38182),(56,21974),(57,30218),(58,17279),(59,28625),(61,21918),(62,36373),(64,31833),(65,24059),(67,27672),(71,38412),(73,3033),(74,32087),(78,35552),(79,37368),(80,3441),(81,15752),(82,33572),(85,6207),(87,20031),(88,9703),(89,28517),(90,15430),(91,35293),(92,11375)]	112.131428
2	[(3,5230),(5,27279),(7,31434),(9,14695),(12,2026),(14,904),(15,31119),(17,10287),(18,23810),(20,39704),(21,18417),(24,38131),(25,6675),(27,3650),(28,22233),(31,33451),(32,38269),(33,6608),(35,38847),(37,6648),(38,29701),(40,39672),(42,37330),(43,5385),(46,26640),(47,21181),(53,29405),(54,36974),(58,32933),(59,5989),(63,28453),(64,19617),(67,36367),(68,326),(70,19203),(71,20257),(73,376),(74,24763),(75,38274),(77,8504),(78,34839),(79,5420),(80,32266),(82,35275),(84,14090),(87,34306),(89,4552),(90,1321),(92,25162)]	146.564309
3	[(0,6824),(1,26542),(5,4533),(6,18985),(8,3870),(9,16873),(12,12689),(13,2436),(14,8609),(18,22866),(19,32007),(20,9727),(23,10266),(24,33878),(26,218),(27,27906),(29,7831),(31,26015),(34,24966),(35,15695),(36,28216),(38,7675),(40,9441),(41,30730),(42,37368),(43,3441),(44,33798),(45,24887),(46,19584),(47,37419),(48,18583),(50,24073),(51,13275),(52,20732),(53,30944),(57,22257),(58,25997),(60,11069),(62,29395),(65,27904),(67,22949),(68,4413),(69,38457),(71,146),(72,37722),(74,13990),(77,27348),(78,31284),(79,27857),(80,9778),(81,5126),(83,7955),(85,12618),(88,20431),(89,16973),(92,17763)]	127.986581
4	[(1,14250),(2,1988),(3,2270),(4,3195),(5,18693),(6,12466),(7,20277),(8,35585),(9,14390),(11,15753),(12,8288),(14,17252),(15,37799),(17,37231),(19,35793),(21,14068),(22,25285),(23,4535),(24,16196),(26,36866),(29,11195),(30,30688),(31,1228),(32,19193),(33,27696),(35,16063),(36,32165),(40,13462),(44,15057),(46,21071),(48,34425),(52,35506),(53,27896),(54,13550),(58,26583),(60,22443),(61,17708),(62,31981),(63,3991),(64,23786),(65,1839),(71,30518),(72,10200),(73,5679),(75,29356),(76,17878),(77,5951),(79,9768),(80,20272),(81,13908),(82,28127),(83,27497),(88,20912),(89,277),(91,16048),(92,34700)]	121.050724
5	[(0,5662),(3,2346),(5,34514),(7,34752),(9,6265),(11,37720),(12,24004),(13,18343),(14,39365),(15,31367),(17,1342),(18,24620),(19,12646),(21,24232),(22,6088),(23,16871),(24,3295),(25,35007),(27,39015),(29,17723),(30,10947),(31,21125),(33,19813),(34,25656),(35,32306),(36,10129),(39,29938),(41,20023),(44,25440),(45,402),(46,24868),(47,8699),(50,6237),(51,29865),(53,17611),(54,27042),(55,5609),(57,39229),(58,3582),(63,9075),(64,7007),(65,32090),(66,25490),(67,33958),(68,21336),(69,29012),(70,25580),(71,31488),(74,16091),(75,36178),(76,36187),(79,10954),(80,20810),(81,30816),(82,30309),(83,19701),(84,25827),(86,30350),(87,17165),(88,17773),(90,21604),(91,23663)]	120.565195
6	[(0,8185),(3,26940),(4,24988),(6,21837),(10,31149),(12,20399),(14,24056),(15,39609),(16,18475),(20,21686),(21,24615),(22,15263),(23,33525),(24,14826),(27,28505),(28,39580),(29,1565),(30,16538),(31,2258),(33,23679),(34,14725),(35,3257),(37,5122),(38,31134),(39,4746),(40,11721),(41,38979),(42,38468),(43,22445),(44,368),(45,11471),(47,26358),(48,9821),(49,20018),(50,5934),(51,17957),(52,19744),(54,1959),(55,27661),(56,14632),(58,29148),(59,30846),(60,2380),(63,31823),(65,11570),(66,1437),(67,19115),(69,36669),(72,34276),(73,33698),(76,122),(77,24038),(78,29206),(79,37521),(80,7900),(81,818),(83,4203),(85,27090),(87,13224),(88,10840),(89,7526),(90,14451),(92,35508)]	121.167148
7	[(0,18791),(3,12761),(9,11961),(11,33830),(14,32051),(15,24644),(16,9996),(18,1607),(19,7632),(20,4072),(23,14172),(24,33583),(26,25798),(27,8871),(28,5432),(30,35272),(32,28138),(33,2709),(34,8039),(35,31695),(38,34687),(39,14392),(41,34900),(42,34117),(43,10521),(45,27936),(46,12518),(47,27334),(50,842),(52,2855),(54,21183),(55,4221),(58,5723),(60,2779),(62,10279),(64,34720),(65,12535),(66,4572),(67,1275),(70,35761),(71,25773),(72,24528),(73,26123),(78,2757),(81,2344),(82,19814),(83,14956),(84,6868),(86,420),(89,4993),(91,26466),(92,30221)]	131.792535
8	[(0,32088),(1,3080),(2,33384),(6,14029),(7,9832),(8,6251),(10,36503),(12,28999),(13,38434),(15,34294),(16,27274),(19,18269),(20,18415),(21,37757),(22,18564),(23,4670),(24,38780),(25,31428),(26,5626),(27,3002),(28,21827),(29,13718),(31,6567),(32,33721),(33,32693),(35,17229),(37,8860),(38,38972),(41,6933),(43,12477),(46,5136),(49,26169),(51,21423),(52,16836),(54,8609),(55,22023),(58,37860),(59,29232),(61,2536),(62,27831),(63,11516),(64,3448),(65,30577),(68,4337),(69,20718),(71,39598),(72,32610),(74,23946),(75,7256),(77,213),(78,25192),(82,33755),(83,23714),(85,37735),(87,33031),(89,34091),(90,12092),(92,35915)]	118.591436
9	[(0,234),(1,21676),(3,8972),(4,11392),(6,100),(8,3437),(10,25643),(12,24251),(13,12412),(17,23691),(18,39441),(19,7870),(20,39913),(21,21477),(22,30798),(23,26416),(24,38554),(28,8510),(29,27770),(31,10186),(32,34732),(34,22575),(35,18969),(38,1513),(39,4253),(40,2961),(43,3536),(44,32315),(45,3271),(46,16788),(47,24742),(51,18842),(55,37345),(56,28113),(57,12614),(58,5446),(59,31461),(60,33853),(62,6322),(64,26883),(65,33430),(67,6695),(68,3798),(70,38221),(71,24622),(72,2073),(73,21815),(74,6362),(75,15287),(77,17869),(78,38517),(80,5957),(81,35466),(82,10075),(83,5015),(85,14697),(86,22477),(87,29215),(88,11668),(89,10323),(91,25205),(92,30767)]	115.109052
10	[(1,11963),(2,22012),(3,12872),(4,23930),(5,31746),(6,24502),(8,1659),(9,24841),(11,7427),(12,29240),(13,31053),(14,28971),(16,25161),(17,16333),(18,9490),(20,900),(21,32367),(22,13800),(23,27172),(24,28296),(27,9884),(28,10238),(32,7055),(35,5805),(36,1385),(37,3297),(38,2561),(40,19159),(42,34079),(45,31797),(47,28463),(50,1182),(52,29362),(54,17732),(55,32773),(59,13996),(65,7480),(66,39257),(67,38349),(69,16490),(70,36256),(71,14519),(73,36894),(75,437),(76,4643),(77,34415),(78,4537),(79,21394),(81,8441),(84,19949),(89,7980),(91,6420)]	134.013087
11	[(0,6713),(1,10100),(2,10257),(3,8298),(4,17762),(5,38274),(6,34845),(9,14556),(11,27815),(12,1149),(14,2941),(15,20464),(17,16980),(20,3789),(21,32893),(22,4268),(23,10897),(24,8236),(25,4166),(27,8142),(28,12665),(29,20448),(31,32703),(33,26152),(34,33625),(36,34462),(41,10254),(43,22285),(44,36535),(46,39593),(47,20687),(48,12692),(52,7849),(53,28789),(54,36547),(55,19905),(56,33989),(57,35195),(58,23980),(59,12015),(60,1146),(61,28681),(62,11065),(63,5918),(64,13137),(65,30091),(68,2354),(69,3797),(70,16197),(71,32478),(72,22693),(73,12006),(75,11174),(76,38859),(77,4645),(79,17279),(84,34551),(85,13231),(86,33357),(88,39718),(89,21102),(91,37424),(92,34145)]	132.901295
12	[(0,22304),(1,39524),(2,28695),(3,24961),(4,21594),(6,34316),(7,30615),(8,32140),(10,2410),(11,39805),(12,34770),(13,28600),(14,23722),(15,17452),(16,18764),(17,27403),(19,4801),(20,25567),(21,21858),(22,9358),(23,21835),(24,29465),(25,33527),(26,564),(27,11689),(28,36870),(29,26350),(30,10168),(31,8525),(37,6868),(41,35081),(42,33447),(43,14395),(44,27959),(46,3263),(49,17138),(51,2344),(52,25356),(54,38412),(56,3033),(57,14186),(58,36436),(60,36978),(61,9839),(62,6246),(67,3664),(68,2498),(71,13002),(72,10362),(73,28636),(74,19774),(75,232),(76,10988),(77,23089),(78,20825),(83,36587),(84,28908),(85,2622),(86,641),(87,35849),(88,31013),(89,31024),(91,19773),(92,34640)]	126.112009
13	[(0,37505),(1,38264),(2,12043),(3,445),(4,5100),(6,37027),(7,18593),(9,19287),(13,30382),(14,3147),(15,14941),(16,31898),(18,38138),(20,25064),(22,13255),(23,19164),(26,34108),(27,20458),(28,8257),(30,23681),(31,34821),(32,7203),(33,8111),(34,7871),(36,10709),(37,2411),(38,2440),(39,19697),(42,33124),(46,19355),(49,18259),(51,24655),(52,28793),(53,27651),(55,30959),(56,15858),(57,4277),(58,5860),(59,36196),(60,30874),(61,35576),(62,20097),(64,47),(65,2795),(68,25322),(70,7059),(71,641),(72,35849),(73,27145),(75,18140),(76,31560),(77,434),(78,24301),(81,38822),(82,15894),(83,31160),(87,4429),(88,15334),(89,21989),(90,28014),(92,18697)]	121.576426
14	[(0,36619),(1,33644),(3,21559),(4,31070),(5,5869),(12,23727),(14,13812),(15,30952),(16,38403),(17,24680),(19,13966),(21,10436),(22,6034),(23,30253),(24,23354),(26,10865),(28,9627),(30,17960),(31,16257),(35,4789),(36,8943),(38,7901),(39,14216),(40,23726),(41,13001),(42,32388),(45,27949),(46,18127),(47,36136),(49,22469),(51,32897),(52,23039),(53,17822),(54,179),(55,9174),(58,26917),(59,15742),(60,23549),(61,25305),(64,21281),(65,22043),(67,24102),(70,14642),(72,3862),(73,756),(74,32784),(75,35363),(79,7108),(81,35041),(82,12290),(90,11530),(91,32244)]	123.721998
15	[(0,19269),(3,10986),(7,10560),(8,25668),(9,14200),(10,12758),(12,36190),(13,4643),(14,34300),(15,9925),(16,35824),(17,3409),(19,10290),(20,39857),(22,34648),(23,25387),(24,35687),(25,32874),(26,30117),(29,3365),(30,12348),(32,28990),(34,9108),(36,34354),(37,38363),(38,18858),(39,9602),(40,4029),(43,1339),(44,51),(45,18564),(46,14681),(47,9224),(48,28184),(49,31118),(51,15554),(54,9172),(55,915),(57,21210),(58,2445),(61,21365),(63,5639),(64,28055),(66,6840),(67,5581),(70,8621),(71,3807),(73,8939),(74,18086),(76,21820),(79,2733),(81,25923),(83,19530),(85,12334),(90,29690),(91,25004)]	137.199656
16	[(1,30494),(3,23086),(5,32446),(6,24979),(8,9326),(9,21817),(11,39159),(12,6288),(13,12904),(14,6113),(16,23428),(17,38769),(18,17984),(19,3433),(21,9175),(22,19969),(23,16687),(25,8164),(26,37522),(29,8838),(31,21523),(33,15274),(35,1647),(36,16565),(37,12914),(38,29829),(40,17580),(41,15205),(42,33787),(45,31363),(46,801),(47,23056),(51,20294),(52,33075),(53,9862),(54,14279),(55,18467),(56,39806),(59,37637),(61,12084),(62,12724),(64,26512),(65,30341),(68,36885),(69,35997),(71,21578),(72,4663),(73,18879),(74,13553),(75,37621),(76,1937),(78,2005),(79,35840),(80,16066),(81,23276),(82,29619),(83,33571),(85,21871),(86,24490),(88,26924),(89,33699),(90,6460),(91,34148),(92,8376)]	135.828127
17	[(2,16846),(3,34541),(4,36536),(6,24152),(8,27255),(10,14462),(14,9697),(18,38066),(20,37369),(21,27572),(27,6488),(28,3561),(29,6180),(30,15071),(31,18352),(32,19670),(33,13096),(34,28850),(36,25053),(37,2830),(38,36666),(40,32940),(41,15902),(42,25812),(44,21749),(45,22891),(47,8902),(48,24078),(50,17595),(51,3572),(52,30725),(54,32387),(56,9488),(57,8674),(58,30734),(62,36817),(63,7865),(64,36225),(65,12320),(66,32985),(68,27614),(69,26109),(70,25792),(71,7047),(73,20044),(76,19260),(77,15451),(78,21733),(79,28715),(80,39248),(81,3151),(82,35569),(84,31332),(85,12117),(86,30980),(87,30347),(88,33221),(89,35092),(90,39537),(92,19575)]	122.167126
18	[(2,18340),(3,17456),(4,37099),(5,28065),(6,33332),(8,18151),(9,1161),(10,2269),(11,7350),(12,23094),(13,1725),(16,12017),(18,5980),(19,14357),(21,30043),(23,30003),(27,25870),(33,17763),(34,10927),(37,13367),(38,25527),(39,3543),(40,22282),(44,23201),(45,30249),(47,4655),(51,2879),(52,37530),(53,29656),(54,39869),(56,26129),(57,28753),(58,2788),(62,24071),(64,36082),(65,32428),(66,3818),(67,35616),(68,33724),(70,10810),(72,10871),(73,29852),(74,31672),(75,23661),(76,10295),(77,6636),(78,14303),(81,15698),(82,30537),(85,29424),(87,24084),(88,25606),(89,24462),(90,938),(92,36020)]	154.081907
19	[(1,10559),(4,35401),(5,333),(7,3309),(8,35427),(10,23112),(12,34395),(13,4589),(18,3825),(19,24568),(20,24813),(21,29532),(22,1304),(24,28623),(29,27066),(31,6283),(32,18252),(33,35243),(38,16495),(39,20340),(41,31988),(42,27033),(43,32922),(45,28526),(46,36873),(50,39695),(51,535),(53,26379),(55,9160),(56,26466),(57,35194),(58,26021),(59,31212),(60,34179),(61,33443),(62,26147),(64,511),(68,16003),(70,17718),(71,35375),(72,10302),(75,16178),(76,39),(78,2482),(79,28155),(80,2722),(81,11251),(82,36147),(83,33160),(84,37947),(85,10729),(86,13747),(87,18510),(88,15310),(91,32685),(92,12551)]	124.368350
