ruleset_index	matches	time_ms
0	[(1,10430),(2,10561),(10,8921),(12,2056),(17,12584),(24,11184),(26,9966),(30,8579),(37,10809),(47,1575),(53,4462),(58,4629),(61,8191),(62,14971),(66,5094),(76,8930),(86,10392),(90,811),(91,1910)]	44.991604
1	[(3,7695),(5,9995),(6,997),(10,2282),(12,7791),(15,11035),(16,670),(17,9808),(18,11277),(22,8778),(23,9429),(24,6896),(27,12751),(29,11974),(32,928),(34,5435),(36,2277),(37,7395),(38,10614),(43,11843),(47,7337),(51,12710),(56,7867),(58,13997),(64,8742),(65,5352),(66,6369),(69,7093),(73,8094),(77,8279),(81,9715),(83,1266),(86,725),(90,2286),(91,5589)]	43.733752
2	[(4,15211),(10,6410),(11,10115),(15,516),(17,9515),(19,5058),(23,520),(24,6250),(29,1556),(30,2544),(32,8483),(46,7463),(62,11274),(67,6695),(76,13074),(77,317),(79,194),(88,2744),(90,5676),(92,7761)]	50.681027
3	[(4,12540),(5,3572),(10,9),(13,10623),(14,3255),(20,7417),(28,14624),(30,1925),(50,3877),(51,7139),(53,3163),(54,7922),(61,741),(64,10766),(65,11439),(70,1498),(73,637),(85,10895)]	43.527336
4	[(4,1505),(5,7691),(7,9789),(8,7438),(13,13269),(15,3863),(16,10246),(18,6124),(22,10840),(24,9322),(27,2942),(33,2165),(38,5951),(41,9359),(43,4801),(49,10722),(51,14313),(65,11109),(66,13215),(69,12018),(70,11070),(76,8022),(78,3210),(91,13219)]	46.375754
5	[(4,10613),(10,8591),(15,12719),(26,11136),(30,9660),(33,3897),(35,13237),(38,10533),(43,11088),(48,6937),(51,9129),(53,1478),(57,6534),(59,8004),(63,14841),(78,3811),(85,12408),(89,3339),(90,11588),(92,13084)]	43.517571
6	[(8,7545),(9,15163),(11,9055),(20,13985),(26,15164),(32,9324),(35,2849),(38,4600),(42,13622),(49,921),(51,10010),(59,43),(60,4145),(62,12311),(65,13968),(68,7678),(77,6589),(87,9651)]	43.832835
7	[(3,7287),(11,4270),(12,11696),(17,7587),(20,12451),(22,2700),(24,8378),(25,9746),(26,13446),(35,5105),(44,2724),(52,1581),(53,4504),(58,1804),(61,9013),(62,7747),(67,1170),(70,10104),(71,9008),(72,6910),(75,559),(76,11298),(78,705),(84,1448)]	44.160297
8	[(3,11822),(12,13650),(26,10965),(27,11642),(33,10919),(35,13432),(39,2934),(41,9334),(45,2962),(49,14192),(50,6625),(52,7859),(54,3255),(59,631),(66,4325),(69,12275),(71,3445),(75,5939),(76,8215),(78,4837),(79,11695),(88,5346),(90,5193)]	43.479051
9	[(0,121),(6,6512),(7,10057),(8,7783),(14,13079),(16,4914),(17,7241),(21,1441),(28,14245),(32,5902),(33,12883),(37,11319),(44,8106),(48,9068),(53,14052),(55,13076),(67,1243),(71,6205),(76,11911),(90,23),(92,12044)]	43.575773
10	[(2,14343),(3,7386),(6,9304),(7,7984),(14,4256),(16,12587),(21,162),(26,2570),(35,8574),(36,12597),(37,3155),(47,8267),(52,3276),(59,1781),(61,5666),(64,13736),(68,2685),(70,7982),(72,2985),(73,15071),(77,13513),(82,363),(90,735),(91,10514)]	53.891930
11	[(0,8396),(1,15263),(2,5811),(4,7329),(7,9112),(8,376),(11,10901),(15,9086),(16,12675),(32,14423),(39,14012),(41,11280),(43,4041),(44,8428),(50,9861),(55,15169),(58,3005),(64,11453),(77,12084),(79,13997),(90,5133),(91,10269)]	51.435268
12	[(3,5845),(7,12154),(20,1248),(22,3944),(34,4414),(37,1448),(40,12860),(42,11829),(43,9801),(56,8094),(57,1401),(58,12094),(60,15119),(62,7285),(66,1827),(80,13079),(82,13084),(83,271),(86,12351)]	43.212101
13	[(0,7529),(2,3764),(23,3880),(25,12577),(26,4228),(29,3218),(36,5378),(39,5738),(61,14988),(64,12479),(66,3541),(69,12891),(71,12351),(87,1420)]	43.936726
14	[(13,3089),(15,6736),(24,5227),(28,2617),(31,13391),(39,14946),(45,2795),(46,13986),(50,2605),(51,250),(56,11655),(57,10136),(64,10403),(66,3422),(67,9773),(77,4122),(82,12424),(84,2770),(85,10942)]	43.584802
15	[(4,7812),(5,8538),(12,7227),(15,12337),(17,505),(18,12537),(19,3740),(20,14463),(22,10733),(24,13954),(25,14314),(27,6949),(28,2870),(32,8727),(37,14641),(44,14756),(48,15111),(55,11505),(56,5535),(57,10761),(72,13965),(73,5067),(80,9032),(81,925),(82,2531),(84,14448),(87,3689),(90,9845)]	45.592877
16	[(0,11807),(4,7263),(7,2873),(8,13201),(11,9506),(13,2447),(21,10171),(24,12840),(27,7678),(28,7706),(29,6259),(32,424),(40,7659),(45,3335),(56,5758),(57,15031),(58,10770),(62,1195),(67,7373),(76,12423),(80,14269),(82,4374),(88,7385),(92,15002)]	44.167211
17	[(6,4401),(8,7905),(9,7560),(14,4894),(16,8197),(17,7593),(33,1162),(36,1863),(38,6725),(44,2247),(45,8477),(46,4495),(47,1717),(49,1219),(52,8453),(57,10476),(58,12006),(61,5770),(62,412),(63,7698),(68,13250),(72,74),(74,11438),(77,6022),(79,707),(82,10603),(89,3725)]	43.758782
18	[(0,6722),(1,8240),(8,8424),(13,11607),(15,10944),(16,4224),(21,15209),(32,7924),(37,7883),(39,15001),(40,879),(42,578),(50,14355),(53,10642),(58,12017),(59,4552),(62,1274),(63,1491),(64,3534),(68,4608),(69,12609),(72,7606),(73,11528),(80,2665),(82,12809),(87,9707),(90,4047)]	43.780597
19	[(5,8965),(22,3719),(31,13377),(35,12262),(51,14843),(54,8697),(57,7048),(58,14346),(62,643),(69,14433),(70,3145),(74,14748),(75,13755),(77,8427),(83,8140),(86,9400),(91,11803)]	46.079924
20	[(0,6443),(1,10411),(3,5625),(5,6128),(6,10245),(7,7889),(14,1084),(15,14105),(17,11110),(18,3674),(20,2008),(21,2817),(30,6719),(31,277),(37,11176),(38,2985),(39,15071),(40,6262),(43,13849),(46,7655),(48,7774),(50,174),(51,2836),(58,8392),(59,14551),(60,2637),(62,2760),(64,7219),(66,10660),(70,5585),(80,12394),(88,8100),(90,9023),(91,7223)]	44.503841
21	[(1,13858),(3,4810),(5,6106),(6,6934),(7,12001),(12,12269),(13,1075),(15,4272),(16,9396),(30,13488),(31,10690),(37,4656),(40,13948),(42,5268),(43,5962),(44,3988),(46,3115),(50,4239),(60,12624),(61,7130),(72,11323),(76,14209),(78,270),(81,9205),(85,13543),(86,13865),(87,10928)]	43.614825
