ruleset_index	matches	time_ms
0	[(1,9063),(3,20503),(4,18627),(8,14624),(10,13229),(15,7478),(17,19141),(18,21364),(19,16793),(22,7522),(24,11373),(27,1790),(30,11952),(49,13216),(51,10896),(55,19224),(57,7285),(61,159),(65,5322),(67,3578),(69,11565),(77,22538),(80,19871),(81,4500),(83,20979),(86,8709),(90,16459),(92,4588)]	122.857474
1	[(1,180),(2,11866),(3,20817),(5,3941),(6,4083),(7,18146),(8,2282),(9,5170),(11,5350),(13,17364),(14,21747),(28,22403),(31,12881),(34,20276),(38,15720),(40,2373),(42,5083),(44,9571),(51,5441),(53,7070),(54,9936),(61,15431),(62,18070),(64,429),(65,18193),(70,19907),(73,352),(76,5405),(79,22682),(84,13744),(87,19920),(88,21165),(89,19955),(91,22580)]	135.444398
2	[(1,20570),(3,544),(6,8231),(7,4450),(8,641),(11,662),(14,4293),(15,14578),(16,225),(17,21860),(23,5721),(25,21503),(26,17470),(30,7716),(33,6751),(40,10986),(41,7633),(46,16551),(49,6640),(52,18342),(55,8854),(59,23021),(60,443),(62,19265),(65,19871),(66,4500),(67,1383),(71,14495),(82,13849),(87,7204),(89,12276)]	131.527979
3	[(1,3397),(4,11325),(6,6100),(8,16462),(9,2203),(13,18126),(18,22237),(19,19977),(24,6513),(27,3861),(34,1994),(35,14427),(38,10462),(39,2333),(41,1943),(42,22682),(46,21795),(49,24),(50,22307),(53,10208),(57,1677),(61,21320),(65,16061),(70,1215),(71,11193),(72,5732),(74,13475),(78,10942),(80,20358),(83,7827),(84,6283),(85,2022),(91,2521)]	128.575657
4	[(1,9745),(2,22228),(7,13753),(8,6052),(9,15091),(10,10306),(16,10326),(17,22947),(20,12509),(22,9444),(24,1564),(28,4347),(34,12936),(36,3002),(37,13814),(38,21391),(43,4925),(45,14539),(49,16126),(50,7963),(53,13964),(54,17079),(55,2160),(57,20510),(63,13495),(68,15546),(69,21955),(71,12639),(73,4565),(74,3618),(75,16048),(78,8186),(79,6088),(83,4006),(87,13298)]	123.693877
5	[(1,20858),(2,14684),(25,10018),(32,9935),(35,3167),(36,22312),(38,12205),(40,11161),(41,19688),(43,797),(49,12523),(50,13307),(54,11814),(56,10262),(57,12184),(58,8691),(59,5442),(61,22138),(62,16993),(63,16224),(66,10396),(67,16405),(70,4214),(71,164),(75,8341),(76,14155),(77,22963),(78,13281),(79,8736),(80,22387),(81,2341),(85,8862),(86,457),(92,737)]	131.652016
6	[(0,2191),(3,15023),(4,3291),(5,5418),(7,2953),(8,13871),(10,272),(16,16769),(17,11656),(18,1784),(19,7853),(20,22838),(22,8400),(23,16611),(25,11510),(27,6580),(28,15130),(30,12956),(32,13807),(33,7382),(36,2596),(38,22681),(40,10515),(41,13715),(42,16232),(43,13905),(46,13244),(53,19367),(54,11472),(58,23),(60,5141),(63,21326),(67,12498),(75,20250),(76,14537),(81,13702),(83,16453),(88,17667),(90,10967)]	128.438792
7	[(2,18552),(3,16113),(6,15454),(7,8078),(10,3242),(14,3903),(16,21473),(17,3318),(18,20105),(20,11757),(21,8977),(23,17520),(25,7068),(26,1094),(30,5880),(33,18248),(34,7285),(35,5225),(36,14753),(40,8225),(41,676),(42,718),(49,11523),(50,11132),(56,3683),(58,3367),(59,4082),(62,5016),(63,22233),(71,17003),(72,21776),(78,3476),(82,4547),(85,14931),(86,17564),(92,17332)]	117.767161
8	[(0,13306),(1,5862),(5,11592),(6,17718),(7,5325),(13,15390),(16,11410),(17,11188),(18,346),(19,19584),(23,16387),(26,18366),(28,2452),(29,7216),(31,9198),(34,1330),(35,21453),(41,11007),(45,20973),(46,11633),(51,3619),(61,17992),(63,15981),(68,15329),(72,19070),(73,6340),(74,5468),(76,19700),(79,3761),(80,12988),(83,3532),(86,16401),(87,8727)]	124.060132
9	[(4,4782),(7,1680),(12,13178),(15,20466),(18,17381),(19,15440),(22,15050),(23,12295),(26,15135),(28,20804),(34,20301),(35,4777),(36,12785),(38,4216),(39,8426),(40,14391),(42,22400),(45,17220),(50,17162),(54,1892),(55,10591),(57,22103),(58,123),(59,12596),(61,7465),(71,9129),(74,5435),(76,3402),(78,2457),(83,21839),(87,16338),(90,138),(91,17002)]	128.640040
