ruleset_index	matches	time_ms
0	[(3,628),(6,11784),(11,15634),(12,3228),(13,17778),(14,2834),(16,12792),(20,1476),(21,7273),(24,16098),(28,4962),(30,10821),(31,21855),(33,12726),(36,9192),(40,21837),(41,13793),(42,2648),(44,6740),(45,6460),(49,5048),(50,3139),(55,14939),(57,15799),(60,8253),(61,7686),(62,2830),(64,4804),(65,17865),(67,5576),(69,3587),(70,18627),(76,17995),(77,21498),(79,19158),(80,16607),(83,21897),(85,10481),(86,19536),(87,19584),(89,9899),(90,10197),(91,12881)]	64.852268
1	[(5,20887),(8,10506),(13,3153),(14,1250),(21,8138),(27,21614),(28,5026),(29,13808),(30,9749),(37,2206),(38,1515),(39,144),(42,9560),(48,5424),(52,18821),(56,19896),(57,512),(61,9871),(63,12920),(67,17610),(68,11992),(69,2198),(70,1539),(71,6214),(77,12090),(79,11348),(81,9725),(82,9774),(84,15162),(85,1277),(86,7602),(89,19907),(91,9295)]	63.958847
2	[(0,21005),(4,23045),(5,919),(9,11124),(12,13146),(13,8588),(18,8860),(21,18706),(24,9285),(25,5433),(26,16256),(31,5955),(34,23063),(35,10667),(36,8013),(37,16623),(42,17542),(47,1355),(51,7456),(52,2337),(55,12571),(56,14654),(57,2678),(59,1987),(63,4663),(64,19158),(65,16607),(71,5047),(78,12739),(79,21869),(80,352),(81,17458),(87,1238),(88,564),(92,1550)]	63.338954
3	[(0,6495),(7,18935),(8,12146),(10,2564),(18,20494),(19,10158),(23,8674),(24,14429),(31,5802),(37,11342),(38,4552),(40,13203),(41,3111),(42,11348),(45,14122),(46,12331),(47,12992),(51,18717),(52,1808),(53,5423),(55,16930),(59,3759),(62,16062),(67,17454),(70,21158),(71,20876),(72,10398),(73,17775),(78,5621),(83,17232),(89,4219),(92,14905)]	63.434697
4	[(2,13213),(4,2781),(7,18095),(10,5070),(13,11527),(16,22719),(18,13719),(19,19796),(25,596),(27,8722),(29,21948),(30,10001),(33,9409),(35,4880),(51,19710),(53,19647),(54,19475),(63,13708),(64,3680),(71,19185),(72,7725),(77,20066),(85,4449),(87,2931),(89,8741),(90,18617)]	70.484861
5	[(5,10840),(13,17566),(14,9256),(19,14040),(22,18567),(25,23130),(26,17779),(27,8221),(30,23346),(35,6674),(37,17188),(39,6069),(41,9644),(45,7074),(46,21140),(48,8878),(50,1085),(54,18585),(57,11386),(60,958),(64,23123),(66,1408),(70,5041),(78,13209),(81,7262),(84,16109),(85,17663),(92,5754)]	65.888402
6	[(0,12823),(1,17723),(2,17358),(5,3536),(9,4257),(10,5211),(14,10112),(15,12637),(16,5960),(17,9934),(22,18398),(24,10967),(34,8140),(37,15173),(40,7848),(46,13770),(48,17227),(49,4599),(54,21843),(57,12898),(64,9270),(65,4638),(66,21861),(67,2135),(68,16153),(69,19039),(70,5781),(72,17901),(74,19918),(76,7765),(78,18409),(85,8430),(87,5011),(88,8908),(89,21016),(91,18430)]	66.762288
7	[(0,1111),(2,21885),(3,3109),(4,7914),(5,8275),(10,5883),(11,9910),(12,4367),(14,8136),(15,19496),(20,5414),(21,17951),(23,4007),(27,1888),(28,22799),(29,17021),(33,12879),(34,15799),(35,19891),(38,17885),(40,17416),(42,6100),(44,16924),(46,15575),(47,4704),(49,8949),(51,17937),(52,8510),(56,20617),(58,15516),(62,8236),(66,13356),(69,2528),(76,13683),(81,18902),(82,6530),(85,12025),(91,19736)]	75.524789
8	[(3,17144),(6,12206),(12,22231),(13,17580),(14,5902),(16,12035),(18,4959),(22,13385),(27,15636),(33,12258),(36,23363),(40,14001),(42,4242),(43,402),(45,11060),(48,22981),(52,15168),(57,21858),(59,8338),(61,21774),(62,6161),(64,5243),(65,4420),(67,6503),(69,11330),(73,15704),(74,20762),(77,10304),(78,19967),(80,10170),(81,12742),(86,12939),(89,8192),(91,6758),(92,18259)]	132.113543
9	[(1,6469),(10,16689),(17,4634),(21,963),(22,11326),(23,20160),(26,8865),(28,20948),(31,10547),(34,17331),(36,2969),(37,8113),(41,11044),(42,10206),(44,13537),(45,3642),(46,5515),(47,3568),(50,23226),(52,15870),(54,7918),(55,17836),(56,14928),(63,22602),(64,4817),(66,1636),(69,20649),(72,14560),(79,15580),(85,23012),(89,9596),(90,20128),(91,13979)]	122.489360
