ruleset_index	matches	time_ms
0	[(7,77),(13,6259),(16,867),(18,4328),(20,7245),(23,753),(24,1537),(25,3104),(43,4110),(45,5167),(48,9971),(51,9678),(60,6212),(61,9915),(62,7999),(64,10590),(74,9571),(81,4172),(82,8270),(83,7778),(90,7111),(91,9591)]	36.726435
1	[(4,3021),(26,426),(28,6215),(30,5901),(31,10091),(38,6307),(44,1000),(47,4703),(56,6542),(63,10039),(64,4792),(67,6962),(68,6392),(72,7180),(77,10559),(86,2564),(88,3492),(90,5893)]	36.087496
2	[(3,1216),(5,1107),(6,5940),(15,1089),(22,8009),(32,6081),(37,749),(40,8330),(45,6858),(56,1263),(66,4172),(68,10337),(81,8449)]	37.467350
3	[(8,782),(13,6072),(15,8902),(17,10444),(20,7002),(21,6802),(34,4539),(35,4700),(36,3667),(44,1812),(47,959),(55,8486),(60,10939),(68,5095),(72,1344),(75,10148),(77,5709),(78,4283),(80,10879),(86,213)]	35.940019
4	[(2,10146),(10,5034),(14,6618),(17,9180),(21,9877),(23,3456),(24,5096),(28,9595),(30,1295),(35,4893),(37,2528),(43,7470),(47,8450),(55,4224),(58,4863),(64,1232),(72,3610),(74,10581),(81,4096),(82,2405),(90,10092)]	35.819011
5	[(2,3819),(13,2),(22,3136),(27,8613),(34,10871),(35,1016),(38,5387),(40,1952),(46,4824),(50,10764),(51,1073),(53,10473),(59,9989),(61,4856),(76,10959),(81,8075),(82,2993),(83,933),(84,1093),(87,9127)]	36.105114
6	[(7,4216),(9,2639),(10,2673),(28,6837),(30,5708),(32,8143),(38,428),(47,2248),(49,3283),(51,1030),(55,10195),(68,3042),(81,1110),(84,6481),(89,4363)]	37.604317
7	[(3,2568),(4,1613),(5,10321),(6,1156),(7,2971),(9,3971),(11,6283),(12,5297),(16,8700),(17,3046),(18,7976),(52,7129),(54,8661),(59,11068),(68,8445),(78,2366),(79,2421),(80,5856),(89,1554),(90,2260)]	36.998953
8	[(0,10334),(2,7407),(6,9998),(9,5002),(11,4028),(20,6405),(21,579),(31,1489),(33,9174),(44,8887),(50,7394),(51,5183),(52,10297),(61,633),(74,6680),(78,10729),(85,1251),(87,8822),(88,9628)]	47.242761
9	[(0,7258),(1,9638),(2,6547),(11,730),(18,7491),(27,8774),(29,8654),(32,4687),(33,6741),(45,10486),(46,9203),(52,6119),(55,2662),(63,3129),(67,6262),(70,7173),(83,2047),(87,831)]	37.676091
10	[(1,10699),(4,4383),(6,86),(9,10222),(12,1868),(13,358),(14,5871),(16,9160),(17,9097),(18,4367),(30,1806),(42,1260),(45,2594),(58,2372),(62,6531),(75,1749),(77,617),(88,4385)]	36.830269
11	[(3,3935),(6,7429),(7,7330),(10,2039),(11,10973),(15,4236),(18,4139),(31,7966),(37,864),(38,5552),(51,3275),(52,1261),(54,1538),(56,7876),(65,1442),(71,1416),(90,6450),(92,3421)]	37.401349
12	[(0,10245),(2,6934),(8,5858),(12,10009),(24,2587),(35,7268),(41,7178),(42,6182),(43,520),(49,10032),(55,7180),(59,2759),(72,9349),(73,9293),(85,10765),(88,7791)]	36.478292
13	[(1,1737),(10,624),(12,5482),(21,8854),(26,9703),(32,5184),(38,4975),(43,3081),(46,4126),(48,9007),(57,861),(58,4378),(59,806),(80,7677),(86,2904),(88,1466)]	38.736234
14	[(6,10794),(8,5520),(13,6740),(14,7177),(17,1420),(26,5103),(30,7318),(33,5762),(36,5320),(38,3545),(55,3717),(64,8048),(65,7781),(66,1531),(88,9767),(90,307)]	36.410403
15	[(5,1500),(7,5596),(10,5539),(14,8765),(17,9166),(49,209),(60,3527),(62,6316),(71,10193),(74,8422),(79,10172),(84,4203)]	36.044439
16	[(2,9441),(3,7081),(6,3697),(12,4058),(16,8488),(22,2644),(24,7552),(27,3042),(28,1995),(32,6407),(34,9553),(38,10369),(49,8569),(54,8714),(58,6991),(82,4246),(85,6576)]	36.484651
17	[(7,5000),(12,11002),(15,9423),(28,3700),(40,10783),(44,1220),(49,7113),(69,8559),(72,4679),(76,11114),(77,10849),(80,8739),(83,10528),(91,6253)]	35.781236
18	[(1,5427),(8,6070),(22,7561),(30,6632),(44,10173),(57,7726),(66,10348),(71,7937),(72,10072),(82,42),(84,2192),(88,5446)]	37.327644
19	[(2,10383),(5,4742),(6,10385),(12,8878),(13,2131),(23,3901),(26,1917),(27,1004),(29,10777),(38,10280),(39,8506),(46,10147),(67,10649),(79,1160),(80,3927),(83,9206)]	54.610457
20	[(14,8351),(30,5653),(37,4661),(41,2129),(54,6086),(66,1276),(68,1399),(72,10327),(87,5827),(88,10425),(92,8665)]	36.069054
