ruleset_index	matches	time_ms
0	[(0,21522),(1,1433),(2,1355),(3,12628),(7,813),(8,22097),(10,14211),(18,12611),(20,13488),(21,7026),(22,20973),(23,5574),(26,693),(27,21595),(29,16303),(43,18652),(50,18755),(51,12517),(53,19897),(58,2252),(66,2768),(67,14134),(70,4200),(74,7246),(76,18398),(82,2626),(87,3356),(90,14455)]	66.259743
1	[(4,14083),(5,17307),(6,16600),(14,2611),(16,8120),(19,7097),(20,16593),(25,4690),(26,18345),(32,19566),(36,7634),(37,2085),(40,4930),(42,19813),(43,19024),(45,11999),(46,6000),(47,14464),(49,497),(51,15540),(52,18606),(58,4248),(65,22455),(75,3023),(76,16840),(81,13838),(86,11950),(91,13364)]	63.594429
2	[(4,15311),(7,15280),(10,12107),(17,22771),(19,20857),(20,5144),(21,11962),(24,11731),(29,21266),(30,13390),(31,13911),(34,16753),(38,21522),(39,21356),(41,2212),(50,5031),(52,5569),(54,8228),(55,14299),(56,5647),(57,21246),(58,10525),(59,21789),(63,9003),(67,2165),(68,5760),(69,2758),(70,19199),(74,4348),(75,11903),(78,13170),(81,9678),(90,13035),(92,5160)]	65.421271
3	[(0,6392),(5,1245),(9,3782),(11,2966),(14,16246),(18,5714),(19,13154),(20,9068),(21,14664),(27,4744),(28,15669),(36,22023),(46,14573),(49,10828),(52,3360),(53,13640),(57,20604),(58,1885),(62,8638),(64,2914),(66,20124),(67,20214),(68,1906),(72,22015),(77,8145),(78,17868),(82,17486),(87,11563),(88,18291),(90,12112)]	63.631565
4	[(3,13382),(5,18510),(6,6974),(8,14896),(9,490),(14,3115),(16,1535),(18,19102),(19,2933),(23,12173),(25,7665),(35,20820),(37,22703),(45,22514),(50,19899),(56,17853),(60,15659),(65,7123),(68,16651),(69,22822),(73,9032),(74,7895),(75,21096),(76,11932),(79,13234),(81,16328),(89,18847),(91,8534),(92,8654)]	62.812481
5	[(1,9676),(3,22045),(5,9557),(6,18438),(7,607),(10,15944),(13,16985),(15,96),(19,19473),(22,20625),(23,13268),(24,21811),(26,19859),(32,13187),(33,7411),(35,4587),(36,18201),(37,2952),(38,17394),(45,4848),(46,14487),(51,6456),(54,15810),(55,13808),(56,9446),(60,7489),(64,4128),(70,7699),(72,17371),(75,6871),(78,9522),(83,10173),(86,16043),(87,7247),(90,13734),(92,10996)]	64.585780
6	[(0,22740),(1,7369),(4,22390),(5,7129),(8,20479),(10,22570),(11,16459),(12,15469),(14,21002),(16,3565),(17,21643),(18,282),(21,11066),(24,5724),(26,10641),(28,12764),(30,18613),(31,8671),(32,5002),(34,14236),(43,6149),(52,15246),(57,13222),(61,14443),(62,2301),(63,5482),(64,19319),(66,2299),(70,20192),(72,15285),(81,20621),(84,12355),(85,3263),(89,1623)]	61.254596
7	[(3,13937),(4,15371),(9,22337),(11,12456),(12,19467),(14,15852),(20,3116),(21,2418),(22,21372),(27,5440),(33,8918),(45,8405),(47,875),(52,15481),(56,15682),(58,22308),(62,13453),(64,2673),(65,4111),(72,2736),(73,824),(79,18541),(81,14504),(84,20999),(87,13359),(89,12604),(92,21400)]	62.339055
8	[(5,12810),(7,2161),(8,19999),(12,6937),(17,18147),(21,12441),(22,505),(24,6656),(27,17231),(29,3956),(30,19920),(33,20899),(34,20039),(35,11015),(39,18518),(40,11127),(41,19542),(44,21253),(45,13069),(46,6317),(47,18302),(49,16050),(51,16245),(53,13110),(54,16246),(55,21490),(57,315),(62,6653),(63,22115),(68,1687),(69,19178),(70,13018),(73,22581),(76,3113),(77,12827),(81,19529),(85,12176),(86,13605),(87,13907),(92,20818)]	63.977227
9	[(0,16811),(4,2622),(5,19618),(7,22668),(12,20672),(20,4355),(24,15446),(28,13906),(30,17040),(36,8265),(40,20338),(45,20726),(47,2700),(48,18100),(49,16655),(52,20596),(55,7961),(56,1573),(60,14331),(61,19594),(62,4704),(68,1900),(69,680),(75,22717),(78,13584),(79,16968),(82,11085),(92,1769)]	62.281424
10	[(0,807),(4,9876),(6,17932),(7,1981),(8,12394),(9,7852),(12,9619),(13,7177),(15,17144),(16,2143),(17,4960),(27,3675),(31,17691),(33,21931),(34,20769),(37,15694),(38,6772),(39,19966),(40,20007),(45,15129),(50,9019),(53,13671),(54,5582),(57,6222),(66,6522),(69,6798),(72,22704),(73,15756),(75,2912),(83,1773),(84,14307),(88,15527),(92,3159)]	63.553921
11	[(4,645),(5,11903),(6,1609),(8,16948),(11,18806),(12,18053),(13,7736),(16,11330),(20,11645),(23,20176),(33,6083),(35,966),(36,1496),(37,8934),(44,3899),(46,16517),(47,11175),(50,6217),(52,9096),(53,6929),(57,585),(62,295),(63,11992),(65,15376),(67,14314),(70,2452),(73,7031),(75,21518),(76,2366),(78,13587),(79,4248),(81,14771),(82,9800),(84,3854),(88,9539)]	70.839566
12	[(0,4939),(1,1610),(3,15069),(4,7813),(6,11475),(17,9878),(19,11797),(22,19532),(23,10857),(24,1094),(25,1653),(29,3336),(31,8492),(32,17142),(34,17458),(35,2138),(36,11773),(37,20999),(51,14504),(53,6373),(61,13571),(62,11685),(63,6129),(64,2539),(67,22126),(72,18678),(74,13345),(75,6388),(77,1615),(78,11512),(79,18496),(82,10996),(83,16662),(87,10236),(89,5865)]	62.482594
13	[(0,22114),(5,19205),(8,14197),(11,18119),(14,9741),(19,9845),(20,7331),(21,7543),(26,22862),(27,2799),(29,3722),(33,1135),(34,558),(35,20273),(38,4836),(43,3682),(44,20746),(45,4304),(48,2496),(53,22795),(57,18778),(66,22003),(67,16499),(72,10236),(73,21239),(74,14413),(76,14941),(79,21809),(80,18428),(84,15377),(89,16485),(92,9532)]	67.094535
14	[(0,10502),(5,8420),(6,21512),(7,22011),(9,20963),(12,21578),(20,17667),(22,1638),(23,5674),(24,18082),(25,7299),(27,9758),(29,11801),(31,6892),(36,4439),(39,448),(40,15021),(42,17874),(43,9894),(45,1423),(46,3378),(47,8636),(49,21023),(50,14945),(52,14516),(58,3246),(64,17264),(65,15085),(66,5279),(68,9680),(71,8289),(72,4145),(75,12957),(77,15239),(78,12924),(79,8642),(80,548),(81,3765),(82,226),(84,15610),(87,9431),(92,573)]	63.282219
15	[(0,9053),(2,8451),(7,6809),(14,10086),(15,1883),(19,16534),(20,19418),(23,20822),(24,11979),(27,7424),(29,4072),(33,4886),(38,6799),(43,22729),(45,505),(46,11328),(47,555),(49,6916),(50,9888),(56,19851),(62,12360),(64,2576),(66,19631),(67,20049),(70,10344),(73,22545),(75,9047),(76,8218),(77,20799),(80,20080),(84,9603),(87,990)]	82.156912
16	[(3,15630),(6,14430),(7,4085),(13,14114),(15,2035),(23,14127),(24,2112),(26,4610),(28,7706),(30,6645),(34,7191),(35,10140),(36,3997),(38,19288),(39,7663),(41,3927),(44,4261),(48,19355),(51,21552),(60,5506),(61,5366),(62,12488),(67,21110),(69,7820),(70,19672),(73,15144),(74,11733),(75,8394),(77,21973),(79,135),(85,4296),(86,9979),(87,20330),(89,21862),(90,3181),(91,16755),(92,13643)]	62.727532
17	[(0,569),(2,8898),(4,19422),(8,19225),(13,3753),(14,15023),(16,20296),(20,3240),(21,6276),(22,22398),(25,11157),(26,17640),(28,22682),(29,9632),(35,9275),(39,22056),(44,6468),(45,1007),(48,15498),(56,14554),(58,16274),(60,1454),(64,17131),(65,3234),(71,9576),(72,10766),(73,1074),(76,10873),(81,4555),(82,4759),(92,20840)]	65.132139
18	[(0,11406),(9,22089),(13,17019),(14,3713),(17,14594),(20,7580),(21,11161),(24,16956),(25,9317),(34,17736),(37,22036),(42,21120),(46,17506),(49,15488),(50,16009),(51,10392),(53,15490),(56,10251),(59,17459),(60,11326),(61,14740),(62,6995),(66,9143),(68,3989),(69,9106),(70,8118),(71,21588),(73,9241),(75,10304),(76,10791),(79,4506),(81,22687),(82,4183),(91,5141),(92,18488)]	63.714330
19	[(3,25),(6,3226),(9,336),(17,21268),(29,5804),(31,22401),(32,21758),(38,16270),(40,20274),(42,22310),(44,21031),(45,13042),(46,20324),(49,20235),(50,11051),(51,734),(52,2554),(53,756),(54,14868),(55,13252),(57,11123),(58,6780),(59,22302),(60,18808),(61,650),(63,11125),(66,9503),(69,15426),(70,1444),(74,6573),(75,20561),(77,9801),(80,12257),(84,3087),(85,20865),(88,6834),(89,8150),(92,294)]	63.495536
20	[(0,19357),(1,10858),(7,13742),(9,1994),(13,18997),(14,22812),(17,18241),(18,8588),(19,15954),(21,11256),(23,14182),(25,7263),(26,21305),(32,5436),(33,6367),(36,15099),(37,7206),(38,22704),(39,15756),(43,9626),(55,2309),(57,1082),(58,9827),(63,2915),(65,22030),(68,14931),(76,7853),(77,11547),(78,17171),(79,15504),(85,3791),(86,10091),(90,10355)]	62.012769
