ruleset_index	matches	time_ms
0	[(3,17847),(4,515),(5,36683),(6,11742),(9,25024),(10,16699),(12,21549),(13,25653),(14,14914),(15,8191),(17,18461),(18,26399),(19,23210),(22,22623),(26,25025),(33,8101),(34,3748),(35,8604),(36,31898),(38,14083),(39,4579),(41,20064),(42,8375),(44,15680),(45,3208),(46,7017),(48,11642),(50,1390),(54,4553),(57,31936),(61,3351),(62,11465),(63,4481),(66,32035),(67,12147),(69,28180),(70,17140),(72,27499),(73,8255),(74,24986),(75,11506),(77,23358),(78,7532),(79,25483),(80,22553),(81,2934),(82,17925),(84,31317),(86,555),(87,6741),(89,32213)]	143.160827
1	[(0,9717),(1,34785),(2,25795),(3,34202),(4,13152),(5,6533),(6,19128),(7,29850),(8,9884),(10,19046),(11,23612),(12,6242),(14,34272),(17,36771),(19,36644),(21,28472),(22,4539),(23,20907),(24,12404),(25,5697),(26,61),(27,19370),(28,28077),(30,36062),(31,17129),(32,7883),(33,11845),(35,4005),(36,10714),(39,34826),(43,29419),(45,6958),(50,30791),(51,26978),(53,2846),(54,18495),(56,26974),(59,13758),(64,32506),(67,3632),(70,36284),(71,23120),(72,31688),(73,10482),(75,18200),(80,11687),(81,31336),(83,13130),(85,6596),(86,12073),(87,35605),(89,4457),(90,36832),(91,5424)]	114.393680
2	[(0,33857),(5,20029),(6,12222),(7,10705),(8,2231),(9,36501),(11,6710),(14,24671),(16,29062),(19,25092),(20,27271),(21,14767),(22,31933),(25,10282),(26,2742),(30,24249),(33,20371),(37,22945),(39,7746),(40,516),(41,14086),(42,24913),(43,10009),(45,599),(46,32683),(47,22083),(52,30254),(53,13657),(54,35969),(57,31560),(60,29057),(62,27493),(63,28950),(64,25483),(65,22553),(66,2934),(68,37651),(72,15001),(73,29436),(77,22201),(78,24836),(80,15457),(81,34369),(82,35095),(92,17456)]	115.602639
3	[(0,1942),(1,17185),(2,17595),(3,21818),(4,9207),(8,22753),(9,33110),(10,28938),(12,30223),(13,20188),(16,16706),(17,34253),(19,24442),(20,5494),(21,19028),(23,60),(26,36226),(27,27894),(28,9098),(29,32095),(30,16771),(31,34110),(34,36008),(35,3297),(38,18074),(39,10151),(41,24755),(43,11687),(44,9171),(47,12343),(48,19465),(50,28328),(51,37491),(52,26032),(53,18204),(55,14539),(56,1136),(59,20137),(60,8141),(61,33274),(66,24194),(67,20122),(68,22477),(69,8615),(71,14301),(72,22712),(74,16049),(75,4444),(76,19038),(77,13037),(78,22804),(80,4488),(81,20771),(82,3311),(88,20750),(91,9319),(92,14780)]	109.023611
4	[(0,27967),(1,9750),(3,2353),(4,20170),(6,3468),(8,20328),(12,24216),(13,16917),(14,23782),(16,17427),(18,1728),(19,10853),(20,7246),(21,21208),(24,6444),(25,9466),(26,28557),(27,34689),(28,2704),(29,6314),(30,11541),(32,27955),(36,18876),(37,21278),(38,31826),(40,11720),(41,23078),(42,31384),(43,30083),(44,21568),(47,30754),(48,20641),(50,35615),(51,18066),(52,19991),(57,4053),(58,29567),(59,23104),(61,5579),(62,26030),(63,22390),(64,14597),(65,28093),(66,4090),(72,30940),(74,34678),(75,8796),(76,28919),(83,16121),(84,31706),(86,30478),(87,28911),(88,2905),(90,34364),(92,28201)]	117.783031
5	[(0,27425),(4,20255),(5,2841),(7,3512),(9,30354),(10,1006),(11,30358),(12,21224),(13,2586),(15,7504),(16,29069),(17,17446),(18,1523),(19,16722),(22,7973),(25,19093),(26,30691),(27,26238),(28,30804),(29,13216),(36,30137),(38,16828),(40,13611),(42,16615),(44,32812),(45,37267),(46,14482),(51,11010),(52,21275),(53,23741),(54,11582),(55,26822),(56,28156),(57,35042),(58,37413),(59,34887),(61,33621),(64,26005),(66,33384),(67,32579),(72,36204),(73,3359),(75,33641),(77,10904),(82,17157),(83,2899),(84,28756),(88,9950),(89,23847),(90,20198),(91,2108),(92,4660)]	110.254167
6	[(5,13848),(6,14029),(8,29482),(10,11591),(12,5922),(14,4116),(16,21458),(20,20326),(21,10499),(22,13191),(23,7636),(26,36083),(29,15777),(30,15441),(32,54),(33,5416),(34,20747),(35,8103),(37,31979),(38,25094),(41,20303),(46,31598),(48,14326),(49,7027),(50,22287),(53,20053),(54,35049),(56,24929),(57,27559),(58,12001),(59,34669),(61,36941),(62,29625),(63,14970),(64,14272),(65,16079),(66,10982),(67,25318),(69,21791),(70,18326),(72,13999),(74,13840),(75,3614),(77,18189),(78,28055),(79,12862),(83,20489),(86,35868),(87,5692),(88,25600),(89,29848)]	107.079120
7	[(1,815),(2,22408),(3,9900),(7,16484),(11,736),(12,7999),(13,13909),(17,7825),(18,23706),(19,10626),(20,35873),(23,22938),(24,5116),(26,7508),(27,35703),(29,23994),(30,12309),(31,35796),(33,35484),(34,31936),(35,31665),(37,20148),(38,37196),(39,36967),(40,2328),(42,18748),(43,744),(45,9451),(46,22681),(49,8970),(50,27229),(53,31803),(57,6247),(58,36638),(59,11334),(60,9830),(62,28573),(63,29493),(68,5007),(69,16296),(70,4257),(72,13452),(73,11255),(75,32813),(77,19055),(78,1557),(79,24397),(81,1062),(82,13952),(88,8209),(89,24422),(90,28324)]	105.739836
8	[(2,32089),(4,25117),(6,37794),(7,34918),(8,33723),(9,35153),(10,15748),(13,36157),(15,2111),(16,14241),(18,27714),(19,274),(20,37458),(22,9733),(25,814),(27,22392),(29,15288),(30,36504),(32,16782),(33,10024),(36,26619),(38,27893),(39,7847),(40,31565),(42,34661),(43,15066),(44,21758),(45,23966),(46,25976),(47,33502),(48,32770),(50,9957),(51,13158),(55,6813),(56,18526),(57,1596),(59,33981),(60,5256),(62,24721),(63,33092),(64,13969),(65,17607),(67,16863),(68,20068),(69,34394),(70,4744),(71,37118),(72,10704),(73,3850),(75,22790),(77,33609),(79,18918),(81,19771),(83,25088),(84,17008),(86,6880),(88,27778),(90,20339),(92,25574)]	112.804889
9	[(0,589),(1,21452),(2,31047),(3,2961),(7,32499),(8,31121),(10,2656),(13,29558),(14,26425),(15,11473),(16,12172),(17,15476),(18,35406),(19,30527),(21,20685),(22,29817),(24,8016),(26,31751),(27,8676),(29,4222),(30,4790),(31,14938),(33,13709),(35,10149),(36,34002),(37,21685),(39,13549),(40,8457),(41,18500),(42,11242),(43,17403),(45,12799),(46,36232),(47,2420),(49,30426),(51,33461),(52,28428),(54,25466),(56,30518),(57,34092),(58,4311),(61,34464),(62,29514),(63,23457),(68,15412),(69,5061),(70,31992),(73,11926),(74,14323),(77,7347),(81,12702),(83,11100),(86,37362),(89,30178),(90,36524),(91,36210),(92,11441)]	156.037882
