ruleset_index	matches	time_ms
0	[(7,2126),(8,11014),(10,5608),(15,14185),(17,11921),(19,3671),(22,17708),(23,5446),(24,13338),(28,11943),(31,14575),(32,2650),(37,2777),(38,8007),(40,9534),(42,16898),(44,1319),(45,2644),(48,19514),(49,8165),(53,12664),(54,3462),(56,15121),(59,16722),(60,13447),(65,11525),(66,19127),(67,13974),(82,9907),(87,15830),(88,5191)]	80.689146
1	[(0,1324),(5,10328),(7,15293),(8,3346),(10,11930),(12,14979),(15,967),(18,16458),(20,19353),(28,11628),(29,14383),(30,12600),(31,19341),(33,2501),(34,497),(35,11439),(40,18671),(46,15112),(47,585),(54,18179),(63,12659),(64,12883),(65,5535),(67,2541),(68,15864),(69,6311),(70,11444),(72,13607),(75,17115),(78,15527),(80,5713),(82,300),(83,7717),(87,7732),(92,9492)]	80.611533
2	[(3,18033),(5,17244),(15,16990),(18,9219),(19,8053),(24,11735),(25,18841),(26,10369),(31,13292),(33,7045),(42,11099),(47,8796),(48,10543),(51,16882),(70,3824),(74,18158),(75,1826),(76,3529),(79,1964),(84,4282),(91,16503)]	91.656687
3	[(6,4219),(11,18928),(13,12903),(15,4808),(17,16320),(18,12715),(23,18381),(25,7978),(31,5097),(43,5713),(44,17582),(46,17127),(49,19018),(50,6669),(53,813),(55,8092),(56,17640),(58,3363),(60,18625),(61,19328),(62,5094),(64,725),(67,5471),(72,6528),(77,653),(78,16087),(82,3187),(83,1406),(84,1714),(90,5300),(91,4200)]	80.943258
4	[(0,6944),(1,9649),(5,13557),(9,6614),(25,14957),(29,8764),(33,16895),(37,13668),(38,11991),(39,6950),(47,18971),(52,212),(54,5482),(55,3098),(56,8580),(62,342),(63,15582),(66,8027),(67,365),(69,18298),(71,17583),(77,1780),(80,4548),(85,4921),(86,718),(88,15715),(89,6999),(92,6890)]	79.635837
5	[(1,16303),(8,17958),(10,1563),(15,10879),(16,7969),(18,11911),(19,8772),(20,13251),(21,1820),(24,10582),(27,546),(28,14387),(29,6485),(30,15817),(31,3483),(32,15109),(37,855),(40,18257),(47,16746),(55,16529),(60,17074),(61,15624),(63,2303),(68,184),(71,9438),(72,11757),(74,19407),(76,15645),(77,7304),(78,1643),(79,19458),(80,13730),(81,1618),(86,428),(87,19571),(89,9975),(90,15455)]	79.075019
6	[(6,2213),(10,2174),(11,9850),(14,13202),(16,16469),(21,9928),(22,10102),(25,1868),(34,17410),(35,3807),(36,8021),(38,11027),(46,5942),(48,13967),(55,15485),(58,12892),(59,11562),(61,8763),(63,3461),(67,17164),(72,13065),(75,3400),(80,9993),(84,3701),(86,16927),(88,9536),(92,1143)]	79.589117
7	[(3,1056),(4,16148),(5,13569),(7,18907),(17,4610),(22,2332),(24,15101),(29,3800),(30,4203),(35,9124),(36,1151),(41,15891),(47,9447),(50,6636),(55,12421),(57,11140),(58,18776),(62,9417),(63,11141),(69,7178),(74,5248),(75,18694),(84,336),(85,10740),(89,12923),(91,8342)]	80.109860
8	[(9,18499),(11,19177),(16,12672),(26,5133),(29,10983),(33,13088),(34,9826),(37,11192),(38,4800),(40,2677),(42,8974),(44,15591),(45,3298),(56,340),(59,4816),(61,11749),(62,19132),(64,14963),(65,12432),(67,9523),(72,6045),(74,19375),(76,13758),(77,4714),(78,12208),(81,13420),(84,5569),(88,3320),(91,8972),(92,11719)]	81.775052
9	[(1,4286),(2,10661),(3,1503),(5,233),(6,8872),(9,7490),(10,6857),(12,7860),(13,4404),(14,3829),(15,7925),(20,6864),(24,14124),(28,2446),(29,13252),(32,18939),(33,3620),(35,52),(44,19452),(59,6919),(67,18937),(68,8591),(69,7050),(74,10478),(75,18695),(76,2934),(77,2560),(78,13555),(84,13360),(92,10448)]	86.801366
10	[(12,1729),(13,6590),(15,13954),(21,2845),(25,8069),(27,7903),(28,8525),(29,12857),(34,8133),(36,2020),(37,9313),(43,18921),(49,10219),(51,11386),(53,13839),(56,12905),(58,16368),(60,12433),(78,12910),(81,2841),(82,17207),(83,10113),(89,12339)]	81.549653
